# 19:25 - 20:05 -> 30 min
# Number	beat-frequency [MHz]	sigma [MHz]
0	24.1738	0.742583
1	26.0516	0.512158
2	11.3045	1.05564
3	23.0274	0.902125
4	8.58706	1.20195
7	8.18773	1.15019
10	5.32381	1.15846
11	9.24364	1.04921
13	27.5336	0.439868
14	9.33475	0.957182
16	19.7415	0.734284
17	7.63628	0.881874
18	31.1449	0.601488
19	15.8452	0.877468
22	23.2725	0.679425
23	16.3603	0.952262
24	11.4283	1.09918
25	10.9519	1.00812
26	25.7466	0.867306
27	11.5665	0.979342
28	17.4712	1.006
29	15.1975	1.22377
31	18.6273	0.566912
32	16.3493	0.979191
33	7.29978	1.08199
34	12.1018	0.830366
35	13.1901	1.00051
36	20.3449	0.785374
37	25.5627	0.783873
38	16.0365	0.777478
40	10.3287	0.882963
41	3.37364	2.23062
42	21.8195	0.672036
43	20.9572	0.7454
44	9.9603	0.740934
45	25.8149	0.634854
46	1.27563	2.5966
47	23.6678	0.647099
48	13.0601	1.25511
50	24.0267	0.593013
51	14.5676	1.10246
52	2.6294	2.21385
53	24.5744	0.866004
54	24.176	0.731906
55	23.8415	0.600864
57	19.0989	0.691547
58	24.9714	0.961688
62	3.73928	2.90603
63	7.39618	0.940183
64	21.5856	0.826104
65	16.3	1.17866
66	21.1709	0.828381
67	8.3634	1.18949
68	21.5504	0.657095
69	13.4562	0.835988
70	29.144	0.821939
71	18.807	0.950104
72	8.65873	0.899545
73	24.8043	0.746957
75	26.9549	0.784193
76	22.5525	0.834389
77	14.9821	28.0719
78	15.2326	1.23896
79	17.9626	0.940334
80	28.2398	0.743996
81	7.21485	1.06295
83	12.5448	1.09125
84	3.24254	2.2658
86	25.533	0.733303
87	24.045	0.721187
88	8.92895	1.01706
89	20.0668	0.858371
90	7.26251	1.05517
91	23.2689	0.915197
92	20.3834	0.884356
93	3.51899	2.66111
94	6.02497	0.896362
95	26.3916	0.620517
96	10.7045	1.07786
97	19.9298	0.504574
98	23.6898	0.608933
100	14.064	1.23486
101	20.5589	0.641349
102	18.4796	0.856804
103	24.5908	0.719553
104	25.7436	0.618206
105	16.9749	1.13084
106	23.4118	0.791846
107	19.8088	0.975101
108	2.75916	2.27503
109	18.3688	1.12319
110	17.5248	0.914182
111	22.9245	0.834904
112	3.09232	2.40668
113	16.1369	0.900229
114	5.59713	1.00944
115	22.131	0.647194
116	6.95546	1.17057
117	21.5358	0.736101
119	21.7987	0.735263
120	10.1692	0.92514
121	18.415	0.999087
122	1.29753	1.94459
123	1.86937	1.74571
124	12.2153	1.00634
125	18.4467	0.941326
126	19.6861	0.86228
127	8.25282	1.01836
129	15.96	0.971121
130	11.3195	1.05038
132	15.7068	0.909166
134	6.99273	1.11652
135	24.3262	1.1171
136	18.4279	0.764474
139	13.555	1.40117
141	7.63972	0.980678
144	6.54083	1.11216
145	26.195	0.442583
146	23.0072	0.77539
148	19.8582	0.978165
149	8.39149	1.16917
150	1.42347	1.86045
152	10.5383	1.30071
153	18.552	0.887326
154	15.0473	0.942132
155	16.4115	0.9632
159	7.95917	1.27368
160	17.457	0.925801
161	19.4897	0.773226
162	5.94117	1.3109
163	20.669	0.85348
165	5.57437	1.13215
166	23.1326	0.775804
167	25.7422	0.753339
168	15.9153	0.934442
169	16.8837	1.25496
170	24.6746	0.797869
172	24.844	0.594273
173	22.5151	1.04619
174	8.77487	1.48418
175	10.284	0.907944
176	29.7443	0.84659
177	16.8925	1.01498
178	30.0297	0.617348
179	9.17115	1.04528
180	12.9153	1.10406
181	27.3431	0.518326
182	9.82824	1.19339
183	9.7265	1.19501
185	20.3145	0.811372
186	20.6008	0.63798
187	16.9106	1.21991
188	4.04361	3.31991
189	11.1185	1.18409
190	18.9721	1.09781
192	18.323	0.951409
193	27.6269	0.76311
194	27.3289	0.54906
195	0.950814	1.58135
196	16.5453	0.942257
198	16.2292	1.13444
199	24.5005	0.654729
200	15.2847	1.53721
201	20.9837	0.986752
202	17.4837	0.842202
203	26.1569	0.618876
204	22.1148	1.00199
205	14.3761	1.25732
206	25.0995	0.631651
207	23.7593	1.00556
209	27.3567	0.945645
210	7.62936	0.977578
#211	-6.62779	5.03757	<- rausgeworfen, weil unsinnig
212	20.3906	1.00858
213	12.1735	0.943304
214	13.9038	1.1721
218	24.2504	0.701517
219	25.3253	0.6278
220	20.69	1.02432
223	1.53588	2.34718
224	18.077	1.1979
225	7.34618	1.15528
226	24.0739	0.807416
227	11.8652	1.1442
228	14.5483	0.869368
230	2.58845	1.8121
231	24.301	0.758661
232	23.1051	0.615755
233	7.9764	1.41968
234	25.3436	0.637014
235	18.0774	1.32367
236	25.1864	0.755729
237	22.4265	0.851917
238	18.8084	0.878209
241	26.2368	0.688445
242	14.9564	1.03815
244	18.1116	0.871408
245	19.58	0.816912
246	3.22104	2.55384
247	26.5997	0.635885
248	13.1913	1.15401
249	17.6529	1.20097
250	21.2398	0.676857
251	12.9313	1.62651
252	21.0322	0.928131
254	11.1196	1.04914
255	16.6862	0.992292
256	13.2893	1.4071
257	10.9297	1.19319
258	25.1257	0.910261
259	25.8201	0.504945
260	8.18153	1.13839
261	14.4547	1.02839
262	4.32437	3.60049
263	26.2886	1.01853
264	19.4846	0.819489
265	16.6863	0.907463
266	11.9036	1.3207
267	14.1956	1.27108
268	6.4351	1.1437
269	18.4734	0.680773
270	9.68391	1.11053
271	11.361	0.963403
272	2.58922	2.02648
273	15.6409	0.962186
