# binwidth: 0.979293096774
# bincount: 31
# frequRange: 0.950814 - 31.3089

# beat-frequency	occurence
0.950814	16
1.93010709677	17
2.90940019355	27
3.88869329032	14
4.8679863871	5
5.84727948387	19
6.82657258065	30
7.80586567742	24
8.78515877419	34
9.76445187097	31
10.7437449677	36
11.7230380645	31
12.7023311613	39
13.6816242581	45
14.6609173548	39
15.6402104516	47
16.6195035484	44
17.5987966452	52
18.5780897419	54
19.5573828387	52
20.5366759355	41
21.5159690323	49
22.495262129	41
23.4745552258	37
24.4538483226	36
25.4331414194	31
26.4124345161	25
27.3917276129	12
28.3710207097	10
29.3503138065	3
30.3296069032	3
