# Frequenz [Hz]	Amplitude
0	2.69427027E-4
100000	2.79363358238366E-4
200000	1.27231161617977E-4
300000	3.29503026996291E-4
400000	2.29765246466766E-4
500000	8.38981334844574E-5
600000	1.29011282830168E-4
700000	7.54381536578563E-5
800000	6.00617782340013E-5
900000	7.34929061961404E-5
1000000	4.95731282864405E-5
1100000	9.03766525700408E-5
1200000	7.33684099758206E-5
1300000	5.36955194488352E-5
1400000	4.04226255321546E-5
1500000	5.94164844099493E-5
1600000	4.64842778852686E-5
1700000	4.61214332270044E-5
1800000	7.67381700923515E-6
1900000	2.67388540277102E-5
2000000	2.98490669902429E-5
2100000	6.43496328195828E-5
2200000	2.94795443739079E-5
2300000	3.73877680668146E-5
2400000	1.34463513256323E-5
2500000	5.53651780645007E-5
2600000	3.08527451108685E-5
2700000	1.26498156022826E-5
2800000	8.52030755254894E-6
2900000	1.79924407901165E-5
3000000	7.94857914242976E-6
3100000	3.38619630292472E-5
3200000	1.33227840165841E-5
3300000	3.72384180678131E-5
3400000	4.97311325406049E-5
3500000	1.78693609245084E-5
3600000	2.45314112544051E-5
3700000	2.25912080433128E-5
3800000	2.19181998614188E-5
3900000	2.81100272839655E-5
4000000	1.64611602352805E-5
4100000	1.88589558872792E-5
4200000	3.00435473306369E-5
4300000	3.05500708878204E-5
4400000	1.26526380490764E-5
4500000	1.28509875208113E-5
4600000	1.27142500785214E-5
4700000	3.83475383467492E-5
4800000	3.23303389452298E-5
4900000	3.20063339353823E-5
5000000	1.58946066828165E-5
5100000	7.09579727582172E-6
5200000	2.3176513365414E-5
5300000	2.40076521952712E-5
5400000	2.61719462792025E-5
5500000	2.4970066723695E-5
5600000	2.16736950305113E-5
5700000	2.2995843107032E-5
5800000	1.89554042893882E-5
5900000	3.08650602275444E-5
6000000	8.65798009750739E-6
6100000	1.28004063913358E-5
6200000	1.33523441333066E-5
6300000	1.22768677256501E-5
6400000	2.91095537314739E-5
6500000	1.80595652952328E-5
6600000	1.59802918918444E-5
6700000	1.04620866813076E-5
6800000	2.03440165905854E-5
6900000	4.02760570132955E-5
7000000	1.41015355253861E-5
7100000	1.88119138662812E-5
7200000	7.00349344446908E-6
7300000	3.34873504637181E-5
7400000	1.53622702924224E-5
7500000	5.22031870776608E-5
7600000	1.496116099295E-5
7700000	4.51550723189454E-6
7800000	6.75768153830523E-6
7900000	2.89653368238041E-5
8000000	5.29743537585762E-6
8100000	8.85317461192078E-6
8200000	3.40789872518522E-5
8300000	9.58785787682984E-6
8400000	1.40123094490908E-5
8500000	1.13572709725934E-5
8600000	3.52574249192002E-5
8700000	1.4637398000115E-5
8800000	2.90942449320682E-5
8900000	3.20079801526897E-5
9000000	2.94338992762924E-5
9100000	1.62861277162362E-5
9200000	1.30839220345186E-5
9300000	2.01528233225861E-5
9400000	1.80058225547957E-5
9500000	2.52302065785946E-5
9600000	2.996864137436E-5
9700000	2.98577982581978E-5
9800000	3.19238356779538E-5
9900000	1.19215654751628E-5
10000000	1.13512831337507E-5
10100000	1.22979801391106E-5
10200000	1.07715364755114E-5
10300000	7.10470455955564E-6
10400000	1.29102715050021E-5
10500000	8.68529056331325E-6
10600000	1.11161691283314E-5
10700000	1.92554481722055E-5
10800000	3.41958591528362E-6
10900000	3.20811078099515E-5
11000000	1.562178754004E-5
11100000	4.62298991024855E-6
11200000	2.14249639674136E-5
11300000	3.09861921943539E-6
11400000	2.04197735166794E-5
11500000	7.69154974629245E-6
11600000	1.92803969710224E-5
11700000	2.20266666873168E-5
11800000	1.17964097205596E-5
11900000	1.44244236464053E-5
12000000	2.28000332734135E-5
12100000	4.35960669480627E-6
12200000	1.72002211156229E-5
12300000	2.50454771207509E-5
12400000	1.48227301062385E-5
12500000	2.49390093409753E-5
12600000	8.09408225131743E-6
12700000	1.48132531974093E-5
12800000	2.81132620813012E-5
12900000	5.75437597823274E-6
13000000	2.75040834496052E-5
13100000	1.81518868602505E-5
13200000	1.03919070095245E-5
13300000	2.37801956003187E-5
13400000	1.65288817332007E-5
13500000	2.31319567008999E-5
13600000	1.56468449819453E-5
13700000	2.53175358211139E-5
13800000	1.81405499825636E-5
13900000	2.41040130825609E-5
14000000	1.16151564424077E-5
14100000	1.20782817265527E-5
14200000	1.75783187812898E-5
14300000	2.92554191696544E-5
14400000	1.49052192255975E-5
14500000	1.7245880311814E-5
14600000	1.72323045999606E-5
14700000	2.80818496720279E-5
14800000	1.19851922983674E-5
14900000	2.92373895985328E-6
15000000	3.23677794161124E-5
15100000	8.05333498651838E-6
15200000	1.13220219188099E-5
15300000	2.27635053614546E-5
15400000	1.89204153372138E-5
15500000	3.39879471922359E-5
15600000	1.68056339210449E-5
15700000	3.24048001986115E-5
15800000	3.26226215902967E-5
15900000	2.41036774924002E-5
16000000	1.27580399289481E-5
16100000	1.28086031787532E-5
16200000	1.61024234243758E-5
16300000	2.58778842165847E-6
16400000	2.34511718543852E-5
16500000	8.03248060692472E-6
16600000	4.78117627774104E-6
16700000	2.05724291409402E-5
16800000	1.07572153247976E-5
16900000	1.19907470109633E-5
17000000	1.44029561611153E-5
17100000	5.32080686098911E-6
17200000	2.43657233072581E-5
17300000	1.37090215914905E-5
17400000	1.18796670248609E-5
17500000	2.3150513555044E-5
17600000	2.89244480620987E-5
17700000	2.64536594230666E-5
17800000	1.1552974818066E-5
17900000	1.53594457495456E-5
18000000	1.11523068480774E-5
18100000	1.28407257334474E-5
18200000	1.64192286946591E-5
18300000	2.28548866523149E-5
18400000	3.22619854456659E-5
18500000	1.39797316447986E-5
18600000	5.9581277638644E-6
18700000	1.98624753619062E-5
18800000	1.35147500873796E-5
18900000	1.81397142509372E-5
19000000	2.10084233945847E-5
19100000	7.41152404023315E-6
19200000	6.66246742546337E-6
19300000	5.17189523750211E-6
19400000	3.61471953569335E-5
19500000	1.55554549080884E-5
19600000	1.33571277288345E-5
19700000	3.2372363683947E-6
19800000	3.13883141113749E-5
19900000	1.64393111362511E-5
20000000	4.10320247930293E-6
20100000	1.7980393308482E-5
20200000	3.64577240803761E-5
20300000	6.40990584407598E-6
20400000	1.82822181078202E-5
20500000	1.0452993458979E-5
20600000	7.92814048842219E-6
20700000	1.51138323402216E-5
20800000	2.17370595538574E-5
20900000	9.51173398332133E-6
21000000	2.5304705928184E-5
21100000	2.25104377994353E-5
21200000	2.46441960000734E-5
21300000	1.84862912757139E-5
21400000	1.53813788639022E-5
21500000	2.31629358444035E-5
21600000	1.10537853956344E-5
21700000	2.29190971649913E-5
21800000	3.13710697327774E-5
21900000	3.85702047895478E-5
22000000	4.15471599523867E-5
22100000	2.08238063281204E-5
22200000	4.20317845977401E-6
22300000	1.6524464314266E-5
22400000	1.93407449698217E-5
22500000	3.05944497716531E-5
22600000	2.70104224204795E-5
22700000	1.95159481985539E-5
22800000	4.20726347666519E-5
22900000	5.41182628554373E-5
23000000	2.80934588946465E-5
23100000	3.931937946161E-5
23200000	6.64029449970031E-5
23300000	4.2638969191913E-5
23400000	4.11739244109093E-5
23500000	6.91203494133547E-5
23600000	1.47408279167649E-4
23700000	2.71829229696521E-4
23800000	5.92576129356345E-4
23900000	0.00153477067715814
24000000	5.37817241975161E-4
24100000	1.27121665825329E-4
24200000	2.09154186450953E-4
24300000	1.24903216497636E-4
24400000	9.48179800897986E-5
24500000	1.10541689328859E-4
24600000	5.3599646268364E-5
24700000	3.69876421786041E-5
24800000	5.28157893039791E-5
24900000	3.85955995067682E-5
25000000	2.08078777265275E-5
25100000	4.60511258629983E-5
25200000	1.34849258018868E-5
25300000	2.88827043580618E-5
25400000	2.33036165626145E-5
25500000	2.60646395531748E-5
25600000	2.61119658488855E-5
25700000	6.5899323451061E-6
25800000	1.46308604532706E-5
25900000	8.48374310037088E-6
26000000	3.79775198124779E-6
26100000	3.47113155186716E-5
26200000	8.05831649919131E-6
26300000	1.45381891310147E-5
26400000	2.14838963890347E-5
26500000	7.14618635530428E-6
26600000	2.01880626166539E-5
26700000	2.22320210513202E-5
26800000	5.15964382393573E-6
26900000	1.95233915376591E-5
27000000	1.01988244721843E-5
27100000	2.4495021445535E-5
27200000	1.68907289622082E-5
27300000	3.23191040304274E-6
27400000	2.53918885244831E-5
27500000	7.82238346765034E-6
27600000	1.3440027957924E-5
27700000	1.62552218509208E-5
27800000	7.2609294303394E-6
27900000	4.50443261228589E-6
28000000	1.11047486283884E-5
28100000	1.20876458829381E-5
28200000	5.63988017001578E-6
28300000	2.19695803768706E-5
28400000	1.09966179064169E-5
28500000	9.08806042102555E-6
28600000	1.76131980641935E-5
28700000	6.887212918496E-6
28800000	5.66421986501954E-6
28900000	9.46868665331925E-6
29000000	1.43955019414286E-5
29100000	9.7151173620005E-6
29200000	1.66314092213243E-5
29300000	8.56794930776236E-6
29400000	1.18948338911657E-5
29500000	3.25487129941101E-6
29600000	1.91216279102942E-5
29700000	3.26106129167968E-6
29800000	4.28416163445448E-6
29900000	1.0447916598607E-5
30000000	2.59727357602277E-5
30100000	1.35302058221372E-5
30200000	3.70135200580683E-6
30300000	1.80255740073313E-5
30400000	8.32148324065547E-6
30500000	1.49928142231618E-5
30600000	1.5025622100096E-5
30700000	7.67677663451152E-6
30800000	1.91581212367483E-5
30900000	1.94712536188217E-5
31000000	1.98721367053443E-5
31100000	7.13901904221493E-6
31200000	7.51377279863459E-6
31300000	3.8728299861339E-6
31400000	1.52582126682106E-5
31500000	6.09643980501113E-6
31600000	1.11511002791631E-5
31700000	1.44563303374267E-5
31800000	3.06796977021804E-6
31900000	9.86304430584345E-6
32000000	2.35542145454004E-5
32100000	1.25306448213018E-5
32200000	1.43851254178135E-5
32300000	8.20389791962812E-6
32400000	5.83982376343953E-6
32500000	1.02249851089884E-5
32600000	1.8584682576718E-5
32700000	8.32643549056519E-6
32800000	9.93649291908329E-6
32900000	8.59585342401227E-6
33000000	1.35962802000363E-5
33100000	3.72629260183288E-6
33200000	1.06332213483474E-5
33300000	2.12289576035659E-5
33400000	4.00141456965813E-6
33500000	1.61691444949815E-5
33600000	4.14765300679525E-6
33700000	1.48745232774237E-5
33800000	7.18154084079206E-6
33900000	7.95160854592388E-6
34000000	6.85996826264337E-6
34100000	7.12001135570188E-6
34200000	9.56502177841521E-6
34300000	1.77677203207817E-5
34400000	8.98397733863756E-6
34500000	5.39804276646813E-6
34600000	1.1710303637806E-5
34700000	2.21244204913071E-5
34800000	4.29518429075267E-6
34900000	6.72537757045282E-6
35000000	1.99122067261496E-6
35100000	6.13862432676345E-6
35200000	6.94865546532311E-6
35300000	1.40900693245977E-5
35400000	3.32731399348404E-6
35500000	6.26427319476288E-6
35600000	7.58546567301863E-6
35700000	2.48244100671492E-5
35800000	1.07968514350281E-5
35900000	9.11955916821217E-6
36000000	8.81336305029495E-6
36100000	1.02838534201388E-5
36200000	1.10545616273925E-5
36300000	1.45469097845301E-5
36400000	6.00962577731769E-6
36500000	1.16671897554934E-5
36600000	2.09681072999251E-5
36700000	1.66378264892777E-5
36800000	1.28881558142731E-5
36900000	1.17565611259549E-5
37000000	9.42393313831362E-6
37100000	8.45699233694309E-6
37200000	4.04185608968977E-6
37300000	5.6322013849372E-6
37400000	1.58916121840868E-5
37500000	9.16056346924242E-6
37600000	1.57040995237595E-5
37700000	1.0209293427227E-5
37800000	6.14325188601562E-6
37900000	9.07500995119289E-6
38000000	8.97670091466742E-6
38100000	1.68136605929343E-5
38200000	1.73671665235051E-5
38300000	2.41704577441101E-6
38400000	1.21502266841706E-5
38500000	1.74424323387439E-5
38600000	1.13377807826142E-5
38700000	3.66889723046756E-6
38800000	2.05842060511457E-5
38900000	1.37692181732101E-5
39000000	1.12676729241818E-5
39100000	6.70059075240656E-6
39200000	8.695957031589E-6
39300000	1.71037198236147E-5
39400000	5.16067806985719E-6
39500000	1.11003662573137E-5
39600000	8.30000334411179E-6
39700000	6.95098707063294E-6
39800000	1.43850630253577E-5
39900000	9.42087181053468E-6
40000000	3.63656352133787E-6
40100000	1.06041806673688E-5
40200000	7.23060721486729E-6
40300000	1.53428734805216E-5
40400000	5.47429801203262E-6
40500000	1.64175801725048E-5
40600000	7.37851094593818E-6
40700000	1.10773684326424E-5
40800000	1.50090519521364E-5
40900000	5.31103900948187E-6
41000000	1.20070285576205E-5
41100000	1.39182967499176E-5
41200000	1.0146547919939E-5
41300000	1.87484210499981E-5
41400000	1.45586391655873E-5
41500000	1.50793353194641E-5
41600000	6.71896600813177E-6
41700000	1.22694180723571E-5
41800000	1.14609530443871E-5
41900000	1.49870115521897E-5
42000000	5.36072048284275E-6
42100000	1.77872187709615E-5
42200000	5.66759789963048E-6
42300000	4.73102922592962E-6
42400000	6.96114869100573E-6
42500000	1.29428094053348E-5
42600000	1.80379645819911E-5
42700000	1.37290161090168E-5
42800000	2.04697585849791E-6
42900000	1.21328530777001E-5
43000000	9.86887596234717E-6
43100000	1.99745805923384E-5
43200000	8.29684198840953E-6
43300000	1.19344579193917E-5
43400000	1.56199664740558E-5
43500000	8.94761681722073E-6
43600000	7.90153776592494E-6
43700000	1.02746192128177E-5
43800000	1.1707816927913E-5
43900000	4.69009051423006E-6
44000000	6.63515124658315E-6
44100000	6.38851592535545E-6
44200000	1.58995032363418E-5
44300000	1.81947970840874E-5
44400000	2.2268896959355E-5
44500000	1.08995903442593E-5
44600000	8.4523712229313E-6
44700000	2.52600724107746E-6
44800000	6.76626136082262E-6
44900000	1.62599069866238E-5
45000000	5.18568548644106E-6
45100000	8.44224040032958E-6
45200000	2.28759215808141E-6
45300000	4.56451300140127E-6
45400000	1.49139602148935E-5
45500000	1.48725949177208E-5
45600000	1.39391804547074E-5
45700000	1.7001805740726E-5
45800000	1.86919537368979E-5
45900000	1.20680895718139E-5
46000000	8.14239176274226E-6
46100000	1.08280505728774E-5
46200000	2.61557496671393E-6
46300000	1.06465078404597E-5
46400000	9.26972482063853E-6
46500000	5.19631918490921E-6
46600000	1.29914871390502E-5
46700000	8.58544636864329E-6
46800000	2.05135526873653E-6
46900000	1.59751231228017E-5
47000000	2.32594010812821E-5
47100000	1.63948495582809E-5
47200000	1.0093960185428E-5
47300000	1.44702843565484E-5
47400000	6.35409768779389E-6
47500000	8.4685551178274E-6
47600000	2.12373911306871E-5
47700000	5.15338589511376E-6
47800000	5.82159720532682E-6
47900000	1.26743807720421E-6
48000000	1.23278580715748E-5
48100000	2.3058474701361E-5
48200000	9.12712619350747E-6
48300000	2.17526767430878E-5
48400000	1.26747177150653E-5
48500000	1.22414220968649E-5
48600000	1.83461061992764E-5
48700000	1.11503809598081E-5
48800000	4.15464929090445E-6
48900000	8.16101910278898E-6
49000000	2.58155592166385E-6
49100000	7.26802724365848E-6
49200000	1.19661172812797E-5
49300000	1.91932482764867E-5
49400000	2.17309041518228E-5
49500000	3.32997832264997E-6
49600000	1.37855305014457E-5
49700000	1.50929565310352E-5
49800000	8.70980294764261E-6
49900000	1.23157690343238E-5
50000000	6.27963663633144E-6
50100000	4.46216357810041E-6
50200000	5.58906417286946E-6
50300000	9.16159785449548E-6
50400000	1.88646916007677E-5
50500000	1.31406423886515E-5
50600000	8.69693012708838E-6
50700000	1.22713354749688E-5
50800000	1.42848009175905E-5
50900000	1.31670727657203E-6
51000000	7.11472082920682E-6
51100000	1.36943439945048E-5
51200000	8.68182055506151E-6
51300000	9.0642289834608E-6
51400000	1.89846955511254E-5
51500000	1.25900224807384E-5
51600000	4.59420406764068E-6
51700000	1.73304367294852E-5
51800000	5.61719339539774E-6
51900000	1.03657218763407E-5
52000000	5.0464478026463E-6
52100000	1.60247543418997E-5
52200000	1.10640929196318E-5
52300000	6.11420198929147E-6
52400000	1.14921814448487E-5
52500000	2.20460159356354E-5
52600000	1.10456369696534E-5
52700000	1.32507497589762E-5
52800000	1.08733994204017E-5
52900000	1.06396175200965E-5
53000000	1.43039392523238E-5
53100000	1.38064805134454E-5
53200000	3.1982079608964E-5
53300000	1.71379831409636E-5
53400000	1.49313986705562E-5
53500000	9.43563739158567E-6
53600000	5.95066301035512E-6
53700000	1.58278758641716E-5
53800000	1.24276698416687E-5
53900000	1.08422841509009E-5
54000000	1.19271716370183E-5
54100000	1.68186841682198E-5
54200000	7.77447969074712E-6
54300000	4.93183738047317E-6
54400000	1.41790742349639E-5
54500000	6.88857752440601E-6
54600000	1.00895756242593E-5
54700000	1.69612234949101E-5
54800000	1.56209873967039E-5
54900000	2.21880246035389E-5
55000000	1.44612474071306E-5
55100000	5.56663569516693E-6
55200000	7.95504872465155E-6
55300000	1.10030622440199E-5
55400000	7.60758063304451E-6
55500000	5.18554443701863E-6
55600000	1.45449648427851E-5
55700000	5.0199073372945E-6
55800000	1.28099632693093E-5
55900000	1.70683821575637E-5
56000000	1.02742917896815E-5
56100000	1.35593663970003E-5
56200000	1.54425975278359E-5
56300000	1.87264527435592E-5
56400000	1.04770829692052E-5
56500000	1.06716701445289E-5
56600000	8.11899756393746E-6
56700000	1.00965639324909E-5
56800000	4.43337081380145E-6
56900000	1.15361112334193E-5
57000000	5.41662919176347E-6
57100000	2.84942734339828E-6
57200000	8.73120337119882E-6
57300000	1.17656304577141E-5
57400000	5.73514917190683E-6
57500000	1.18851918086206E-5
57600000	8.97220529613231E-6
57700000	3.13902454857153E-6
57800000	1.31626960324722E-5
57900000	8.18894909154494E-6
58000000	7.96142441871352E-6
58100000	7.20628689876224E-6
58200000	1.12828677288793E-5
58300000	9.9518076161296E-6
58400000	3.32780380646896E-6
58500000	1.38495988390728E-5
58600000	3.13603192514766E-6
58700000	9.05120541625891E-6
58800000	5.20725100027555E-6
58900000	1.30112559439212E-5
59000000	4.89289939179622E-6
59100000	5.92522965141765E-6
59200000	2.02395501889882E-6
59300000	1.47728788564137E-5
59400000	8.76119031981254E-6
59500000	1.18217132453231E-5
59600000	1.27729160377028E-5
59700000	1.41012014864823E-5
59800000	2.37092250982686E-5
59900000	3.75594201771719E-6
60000000	1.00883644974586E-5
60100000	1.12152750149812E-5
60200000	7.94220226493133E-6
60300000	9.32884175111861E-6
60400000	4.33781754342065E-6
60500000	8.52353785796351E-6
60600000	5.22627744530681E-6
60700000	3.83677895798459E-6
60800000	5.79390027935071E-6
60900000	9.12018603563185E-6
61000000	1.5470544817026E-5
61100000	2.79007785221531E-6
61200000	1.24052492772215E-6
61300000	3.31516304930059E-6
61400000	5.36623060497036E-6
61500000	9.07168003608855E-6
61600000	4.87682475368843E-6
61700000	5.62934703057665E-6
61800000	8.04027375204173E-6
61900000	2.23341738025872E-6
62000000	2.72478237677613E-6
62100000	3.54120436252684E-6
62200000	8.87744070583618E-6
62300000	8.13652462998682E-6
62400000	2.7945847508291E-6
62500000	1.97100167361776E-5
62600000	8.11957311699205E-6
62700000	1.46669006626221E-5
62800000	1.41700075056563E-5
62900000	4.89146820571398E-6
63000000	1.23403685769694E-5
63100000	3.87909235541599E-6
63200000	3.65703503441537E-6
63300000	3.35020636780223E-6
63400000	9.51822481948403E-6
63500000	8.38912238891168E-6
63600000	6.91785409639291E-6
63700000	1.21259044315359E-5
63800000	1.25472028328216E-5
63900000	9.52661284586844E-6
64000000	1.00231740156269E-5
64100000	1.28973835247773E-5
64200000	5.70910907706722E-6
64300000	1.0265163082451E-5
64400000	4.01489215989827E-6
64500000	2.09409317685692E-5
64600000	1.18808559446288E-5
64700000	3.96215709927654E-6
64800000	1.20490877648252E-5
64900000	9.12802123580694E-6
65000000	2.82490860831869E-6
65100000	3.38580103475309E-6
65200000	8.23004126165895E-6
65300000	4.85315711034985E-6
65400000	1.77732132824581E-6
65500000	7.38757104216921E-6
65600000	4.99149204246734E-6
65700000	3.19151318248038E-6
65800000	7.32102554042373E-6
65900000	1.78652687034671E-5
66000000	1.0685915300309E-5
66100000	8.35223336231785E-6
66200000	7.99909964564029E-6
66300000	2.19577960818794E-6
66400000	3.58692607157369E-6
66500000	9.79334936989614E-6
66600000	1.4040529521123E-5
66700000	5.88847512683147E-6
66800000	1.32784791459313E-5
66900000	2.85326690633993E-6
67000000	8.32258006024156E-6
67100000	3.79178325217342E-6
67200000	5.64187897769031E-6
67300000	3.15590589272603E-6
67400000	5.161136731877E-6
67500000	1.38677305023723E-6
67600000	1.30498417021044E-5
67700000	5.61573171857783E-6
67800000	1.36344807607943E-5
67900000	6.72201775487846E-6
68000000	3.08803430449958E-6
68100000	9.37646929640976E-6
68200000	3.80114325469175E-6
68300000	3.0013596530676E-6
68400000	1.48964028699529E-5
68500000	4.89503067055047E-6
68600000	9.67708084845976E-6
68700000	7.71634047517673E-6
68800000	6.72869003965769E-6
68900000	2.86240194013569E-6
69000000	1.06944758799639E-5
69100000	2.81504998922337E-6
69200000	8.45987539490632E-6
69300000	6.35270921605988E-6
69400000	9.12900525425764E-6
69500000	1.59611794986717E-5
69600000	1.19284500087448E-5
69700000	6.21962994718404E-6
69800000	7.05365999095953E-6
69900000	2.7335509313156E-6
70000000	1.68138026921455E-5
70100000	1.19452107421969E-5
70200000	5.46548954994803E-6
70300000	7.88144053964561E-6
70400000	3.75487195405923E-6
70500000	1.94331958644419E-6
70600000	5.27262143148194E-6
70700000	6.77532688334136E-6
70800000	7.03804452584849E-6
70900000	6.77272746398411E-6
71000000	8.92843761645923E-6
71100000	8.01693758390634E-6
71200000	1.31002842892343E-5
71300000	1.23692648169248E-5
71400000	1.16589535076374E-5
71500000	5.53355813112348E-6
71600000	7.74267011560558E-6
71700000	1.73397267454651E-5
71800000	6.04810126146221E-6
71900000	6.07252649694398E-6
72000000	1.06383097120042E-5
72100000	1.09620499932646E-5
72200000	2.75449744387072E-6
72300000	8.09855730630273E-6
72400000	9.96911304692685E-6
72500000	7.56734008993083E-6
72600000	7.54141266738009E-6
72700000	7.0649249264467E-6
72800000	4.84277920009087E-6
72900000	1.21499865052103E-5
73000000	3.03253023992752E-6
73100000	1.23668539777605E-5
73200000	1.25956725763319E-6
73300000	6.18760088699093E-6
73400000	9.29012072622266E-6
73500000	3.69470332268116E-6
