# 16:37 - 17:56 -> 79 min
# Number	beat-frequency [MHz]	sigma [MHz]
0	20.3072	0.343277
1	23.5189	0.290819
2	25.742	0.349704
3	23.1156	0.35218
4	17.9481	0.443323
5	27.1313	0.208076
6	28.3042	0.272535
7	17.7299	0.260825
8	26.6314	0.262276
9	20.9569	0.453644
10	25.4761	0.261309
11	25.4492	0.252708
12	21.5124	0.179377
13	23.6065	0.373951
14	18.1589	0.24133
15	24.1541	0.327954
16	23.6537	0.278915
17	25.9311	0.534689
18	21.6932	0.46359
19	23.7632	0.248651
20	15.043	0.444202
21	15.9926	0.36446
22	21.2974	0.535505
23	21.8217	0.440888
24	25.0765	0.272944
25	19.8411	0.304254
26	22.8336	0.281514
27	18.804	0.357477
28	19.3563	0.306812
29	17.838	0.392003
30	24.6237	0.329885
31	26.4133	0.300221
32	21.0535	0.282862
33	27.5483	0.213901
34	21.136	0.229168
35	21.909	0.246979
36	20.6795	0.336702
37	17.5089	0.28632
38	20.0078	0.271247
39	23.1927	0.284604
40	29.8305	0.244458
41	26.9071	0.342269
42	20.4994	0.25377
43	17.4814	0.14255
44	20.1925	0.194849
45	20.1487	0.428705
46	18.5473	0.384905
47	21.9094	0.328497
48	19.6353	0.428542
49	20.5585	0.385065
50	30.2286	0.110924
51	18.1045	0.369073
52	25.8223	0.282503
53	20.5231	0.363665
54	21.5597	0.590395
55	24.2016	0.225733
56	27.3429	0.338824
57	19.8742	0.399933
58	23.0356	0.350774
59	21.459	0.339415
60	22.7596	0.223764
61	19.5688	0.462457
62	10.027	0.260971
63	18.5213	0.286029
64	20.2989	0.460434
65	17.5867	0.283893
66	22.339	0.362632
67	23.069	0.230595
68	20.0659	0.473955
69	18.7318	0.392628
70	27.0506	0.255447
71	18.2302	0.360226
72	21.7387	0.40488
73	27.2149	0.42819
74	25.0664	0.609701
75	20.4646	0.370441
76	26.8195	0.307968
77	24.0175	0.131086
78	22.7081	0.340485
79	18.273	0.379309
80	21.9207	0.364638
81	22.2729	0.285991
82	21.9001	0.299871
83	20.8496	0.231912
84	19.7325	0.394144
85	21.9069	0.33963
86	15.3825	0.536013
87	20.0528	0.321079
88	22.1743	0.29189
89	23.1958	0.298146
90	19.7013	0.417132
91	22.7479	0.239402
92	19.0225	0.335618
93	19.2188	0.317477
94	32.3107	0.244567
95	18.8709	0.365166
96	16.3182	0.373295
97	25.5281	0.312975
98	31.4194	0.261114
99	21.9468	0.412083
100	20.5017	0.263214
101	28.3285	0.235356
102	23.365	0.354434
103	19.1115	0.398788
104	20.9145	0.202321
105	19.9421	0.303795
106	21.2364	0.551802
107	19.593	0.321414
108	21.1428	0.397847
109	18.9995	0.350954
110	24.9732	0.370302
111	21.1017	0.295841
112	17.9785	0.40186
113	21.546	0.305664
114	20.0024	0.256022
115	12.7639	0.331958
116	19.1212	0.389454
117	24.339	0.31846
118	18.0029	0.264127
119	26.5907	0.320032
120	12.2293	0.300263
121	18.2971	0.524995
122	25.4582	0.368247
123	24.9695	0.464397
124	21.5703	0.255308
125	14.1733	0.384517
126	23.9314	0.235037
127	19.1167	0.419213
128	24.0004	0.515155
129	26.0013	0.304013
130	27.3306	0.2676
131	24.5758	0.287781
132	28.1658	0.311423
133	22.4972	0.251221
134	23.7343	0.37646
135	24.2264	0.466366
136	23.6996	0.318637
137	21.4735	0.303979
138	21.5469	0.416771
139	23.9662	0.326622
140	22.2221	0.208358
141	24.8296	0.191149
142	15.1559	0.408711
143	23.4175	0.260772
144	22.6459	0.406437
145	23.2928	0.51142
146	24.3755	0.234952
147	25.2937	0.401876
148	21.9082	0.226799
149	22.1436	0.365636
150	24.849	0.276204
151	23.4004	0.289112
152	22.3384	0.380925
153	24.4893	0.473873
154	21.1287	0.412567
155	21.4898	0.37071
156	27.4459	0.241473
157	23.864	0.318783
158	19.5934	0.390636
159	20.3349	0.296206
160	22.7838	0.196546
161	27.7995	0.279237
162	23.6124	0.385332
163	26.9422	0.442196
164	21.3683	0.372449
165	20.7138	0.308986
166	23.0257	0.349014
167	19.6378	0.443755
168	18.7206	0.224034
169	22.6879	0.271332
170	21.1046	0.310965
171	24.7013	0.358807
172	20.0721	0.431992
173	19.9269	0.427946
174	25.9061	0.368505
175	24.7108	0.272878
176	24.1298	0.418829
177	24.6657	0.212606
178	22.1543	0.264155
179	22.7096	0.470038
180	17.8745	0.376063
181	25.4528	0.398475
182	18.6549	0.31447
183	22.9839	0.313268
184	27.1493	0.103781
185	23.7978	0.234206
186	24.5743	0.351185
187	24.0989	0.29539
188	19.6263	0.316675
189	22.0884	0.469193
190	17.1538	0.322987
191	23.1948	0.226733
192	22.0848	0.202233
193	23.2575	0.357927
