# binwidth: 0.627307692308
# bincount: 39
# frequRange: 10.027 - 34.492

# beat-frequency	occurence
10.027	1
10.6543076923	0
11.2816153846	0
11.9089230769	1
12.5362307692	1
13.1635384615	2
13.7908461538	4
14.4181538462	5
15.0454615385	6
15.6727692308	9
16.3000769231	17
16.9273846154	24
17.5546923077	42
18.182	55
18.8093076923	48
19.4366153846	92
20.0639230769	96
20.6912307692	122
21.3185384615	146
21.9458461538	115
22.5731538462	137
23.2004615385	112
23.8277692308	116
24.4550769231	90
25.0823846154	78
25.7096923077	57
26.337	44
26.9643076923	29
27.5916153846	18
28.2189230769	14
28.8462307692	5
29.4735384615	3
30.1008461538	8
30.7281538462	3
31.3554615385	4
31.9827692308	2
32.6100769231	0
33.2373846154	0
33.8646923077	0
