# 16:11 - 17:16 -> 65 min
# Number	beat-frequency [MHz]	sigma [MHz]
0	9.81351	0.248929
1	7.818	0.402529
2	7.05574	0.27334
3	7.51721	0.316069
4	13.7645	0.251039
5	11.3045	0.387219
6	10.2357	0.330541
7	14.5991	0.323935
8	10.7176	0.252195
9	10.8694	0.45571
10	4.72195	0.412397
11	9.11672	0.259151
12	6.75721	0.354711
13	9.40396	0.227183
14	11.7842	0.304694
15	13.2606	0.203826
16	2.91224	0.299802
17	11.5961	0.266313
18	9.14583	0.353254
19	12.8775	0.172543
20	12.46	0.26919
21	12.5229	0.256738
22	11.942	0.297083
23	6.16022	0.407342
24	10.986	0.426384
25	11.345	0.395438
26	10.437	0.297715
27	11.0663	0.217974
28	9.3073	0.318501
29	16.5254	0.20064
30	12.1126	0.250994
31	15.6063	0.231821
32	13.0079	0.291854
33	12.3101	0.224042
34	12.4935	0.340465
35	13.1835	0.180467
36	18.8134	0.165838
37	20.2085	0.300136
38	13.5512	0.203119
39	12.5357	0.218314
40	16.3871	0.316474
41	14.7584	0.353063
42	17.4852	0.108508
43	16.2011	0.314948
44	16.1984	0.352508
45	16.2321	0.20961
46	15.6798	0.170713
47	22.9917	0.134779
48	15.4938	0.146122
49	10.0672	0.325365
50	12.0483	0.222927
51	9.09926	0.315951
52	7.87521	0.27708
53	13.9904	0.366479
54	11.6569	0.1879
55	6.73271	0.352649
56	14.1945	0.157832
57	8.36902	0.301727
58	3.84413	0.377587
59	12.3777	0.301696
60	11.5062	0.427146
61	10.1336	0.207255
62	12.9082	0.276242
63	14.2591	0.129324
64	8.06417	0.302635
65	9.51986	0.398032
66	8.57141	0.203897
67	11.3027	0.251529
68	13.1954	0.229729
69	10.9861	0.376504
70	10.5914	0.320982
71	2.23691	0.296566
72	10.6085	0.194003
73	10.5888	0.23428
74	10.3338	0.290498
75	11.9414	0.262164
76	10.3056	0.275721
77	5.43552	0.613345
78	12.1044	0.21651
79	6.58409	0.314617
80	5.93696	0.357709
81	8.08946	0.290591
82	10.6633	0.35843
83	10.8276	0.211763
84	7.25766	0.210386
85	11.1845	0.315047
86	13.3084	0.180667
87	17.4734	0.163774
88	17.0293	0.218299
89	12.5699	0.258589
90	10.1233	0.245389
91	7.55881	0.275368
92	8.871	0.424006
93	12.364	0.3789
94	10.0808	0.28596
95	11.9312	0.291041
96	14.8634	0.233739
97	8.54039	0.238002
98	14.1455	0.201083
99	6.14942	0.276171
100	9.40861	0.250323
101	10.8254	0.25777
102	7.44581	0.423712
103	8.89848	0.251412
104	10.6238	0.261953
105	10.4805	0.368517
106	8.99107	0.42918
107	14.5189	0.409203
108	12.9018	0.208334
109	17.3887	0.171519
110	13.9822	0.224026
111	6.11628	0.386485
112	11.8979	0.370658
113	12.7639	0.261887
114	14.6027	0.364213
115	12.3088	0.228474
116	8.27268	0.269771
117	9.34266	0.319033
118	7.78387	0.244541
119	13.1707	0.421337
120	11.5741	0.220077
121	16.527	0.261554
122	8.97778	0.274578
123	12.4874	0.305258
124	9.68003	0.364743
125	15.7027	0.251708
126	8.8422	0.552604
127	7.4532	0.33854
128	8.2693	0.264327
129	15.3056	0.179286
130	3.68368	0.27078
131	8.69468	0.322212
132	13.2301	0.316622
133	8.6615	0.331074
134	12.1464	0.204505
135	6.91665	0.191114
136	8.44744	0.275455
137	7.79271	0.263891
138	12.753	0.274376
139	9.8124	0.239303
140	6.50327	0.387938
141	7.83359	0.318538
142	6.2266	0.502405
143	11.6277	0.181819
144	9.88498	0.524192
145	12.5854	0.376002
146	18.8495	0.220049
147	13.7362	0.28902
148	14.4931	0.160797
149	15.2069	0.206684
150	14.1226	0.315434
151	4.20651	0.564105
152	9.94485	0.287119
153	11.8655	0.239514
154	14.814	0.410843
155	14.1765	0.180128
156	10.7702	0.24298
157	14.3338	0.242117
158	9.93219	0.320927
159	11.1678	0.244621
160	10.0672	0.246427
161	9.73672	0.512683
162	12.8834	0.289109
163	11.0032	0.217534
164	9.75556	0.270168
165	8.76395	0.199207
166	4.70599	0.362025
167	8.61074	0.307239
168	7.32106	0.392607
169	10.7999	0.244412
170	11.6913	0.222909
171	15.3847	0.229351
172	11.1029	0.179726
173	11.4215	0.187882
174	13.7213	0.231406
175	6.58044	0.435442
176	9.76869	0.297029
177	14.7464	0.34954
178	13.0663	0.262897
179	8.28557	0.427688
180	8.24454	0.284829
181	14.2275	0.481783
182	10.1735	0.334143
183	2.27606	0.369036
