#time [s]	amplitude [V]
-6.343750000000e-003	1.12450e-002
-6.338550000000e-003	1.20490e-002
-6.333350000000e-003	1.28530e-002
-6.328150000000e-003	1.12450e-002
-6.322950000000e-003	1.20490e-002
-6.317750000000e-003	1.12450e-002
-6.312550000000e-003	1.04410e-002
-6.307350000000e-003	1.20490e-002
-6.302150000000e-003	1.12450e-002
-6.296950000000e-003	1.12450e-002
-6.291750000000e-003	1.12450e-002
-6.286550000000e-003	1.28530e-002
-6.281350000000e-003	1.20490e-002
-6.276150000000e-003	1.12450e-002
-6.270950000000e-003	1.12450e-002
-6.265750000000e-003	1.12450e-002
-6.260550000000e-003	1.12450e-002
-6.255350000000e-003	1.12450e-002
-6.250150000000e-003	1.12450e-002
-6.244950000000e-003	1.28530e-002
-6.239750000000e-003	1.28530e-002
-6.234550000000e-003	1.28530e-002
-6.229350000000e-003	1.12450e-002
-6.224150000000e-003	1.20490e-002
-6.218950000000e-003	1.12450e-002
-6.213750000000e-003	1.20490e-002
-6.208550000000e-003	1.04410e-002
-6.203350000000e-003	1.20490e-002
-6.198150000000e-003	1.12450e-002
-6.192950000000e-003	1.28530e-002
-6.187750000000e-003	1.28530e-002
-6.182550000000e-003	1.20490e-002
-6.177350000000e-003	1.28530e-002
-6.172150000000e-003	1.20490e-002
-6.166950000000e-003	1.12450e-002
-6.161750000000e-003	1.12450e-002
-6.156550000000e-003	1.20490e-002
-6.151350000000e-003	1.20490e-002
-6.146150000000e-003	1.12450e-002
-6.140950000000e-003	1.20490e-002
-6.135750000000e-003	1.20490e-002
-6.130550000000e-003	1.20490e-002
-6.125350000000e-003	1.28530e-002
-6.120150000000e-003	1.28530e-002
-6.114950000000e-003	1.12450e-002
-6.109750000000e-003	1.28530e-002
-6.104550000000e-003	1.36570e-002
-6.099350000000e-003	1.04410e-002
-6.094150000000e-003	1.20490e-002
-6.088950000000e-003	1.20490e-002
-6.083750000000e-003	1.12450e-002
-6.078550000000e-003	1.20490e-002
-6.073350000000e-003	1.28530e-002
-6.068150000000e-003	1.20490e-002
-6.062950000000e-003	1.12450e-002
-6.057750000000e-003	1.28530e-002
-6.052550000000e-003	1.20490e-002
-6.047350000000e-003	1.12450e-002
-6.042150000000e-003	1.12450e-002
-6.036950000000e-003	1.04410e-002
-6.031750000000e-003	1.20490e-002
-6.026550000000e-003	1.20490e-002
-6.021350000000e-003	1.12450e-002
-6.016150000000e-003	1.12450e-002
-6.010950000000e-003	1.12450e-002
-6.005750000000e-003	1.20490e-002
-6.000550000000e-003	1.12450e-002
-5.995350000000e-003	1.28530e-002
-5.990150000000e-003	1.20490e-002
-5.984950000000e-003	1.04410e-002
-5.979750000000e-003	1.04410e-002
-5.974550000000e-003	1.20490e-002
-5.969350000000e-003	1.12450e-002
-5.964150000000e-003	1.12450e-002
-5.958950000000e-003	1.20490e-002
-5.953750000000e-003	1.12450e-002
-5.948550000000e-003	1.20490e-002
-5.943350000000e-003	1.28530e-002
-5.938150000000e-003	1.20490e-002
-5.932950000000e-003	1.20490e-002
-5.927750000000e-003	1.20490e-002
-5.922550000000e-003	1.20490e-002
-5.917350000000e-003	1.20490e-002
-5.912150000000e-003	1.36570e-002
-5.906950000000e-003	1.12450e-002
-5.901750000000e-003	1.20490e-002
-5.896550000000e-003	1.28530e-002
-5.891350000000e-003	1.12450e-002
-5.886150000000e-003	1.12450e-002
-5.880950000000e-003	1.20490e-002
-5.875750000000e-003	1.12450e-002
-5.870550000000e-003	1.28530e-002
-5.865350000000e-003	1.28530e-002
-5.860150000000e-003	1.28530e-002
-5.854950000000e-003	1.12450e-002
-5.849750000000e-003	1.20490e-002
-5.844550000000e-003	1.20490e-002
-5.839350000000e-003	1.20490e-002
-5.834150000000e-003	1.12450e-002
-5.828950000000e-003	1.20490e-002
-5.823750000000e-003	1.12450e-002
-5.818550000000e-003	1.20490e-002
-5.813350000000e-003	1.28530e-002
-5.808150000000e-003	1.28530e-002
-5.802950000000e-003	1.12450e-002
-5.797750000000e-003	1.12450e-002
-5.792550000000e-003	1.12450e-002
-5.787350000000e-003	1.20490e-002
-5.782150000000e-003	1.28530e-002
-5.776950000000e-003	1.20490e-002
-5.771750000000e-003	1.20490e-002
-5.766550000000e-003	1.20490e-002
-5.761350000000e-003	1.28530e-002
-5.756150000000e-003	1.20490e-002
