#time [s]	amplitude [V]
-4.906250000000e-003	-1.21168e-002
-4.901050000000e-003	-1.21168e-002
-4.895850000000e-003	-1.61369e-002
-4.890650000000e-003	-1.61369e-002
-4.885450000000e-003	-1.61369e-002
-4.880250000000e-003	-8.09675e-003
-4.875050000000e-003	-8.09675e-003
-4.869850000000e-003	-1.61369e-002
-4.864650000000e-003	-2.01570e-002
-4.859450000000e-003	-1.61369e-002
-4.854250000000e-003	-1.61369e-002
-4.849050000000e-003	-1.21168e-002
-4.843850000000e-003	-1.61369e-002
-4.838650000000e-003	-2.01570e-002
-4.833450000000e-003	-1.61369e-002
-4.828250000000e-003	-1.61369e-002
-4.823050000000e-003	-2.01570e-002
-4.817850000000e-003	-1.61369e-002
-4.812650000000e-003	-1.61369e-002
-4.807450000000e-003	-1.61369e-002
-4.802250000000e-003	-1.61369e-002
-4.797050000000e-003	-2.01570e-002
-4.791850000000e-003	-1.61369e-002
-4.786650000000e-003	-1.61369e-002
-4.781450000000e-003	-1.61369e-002
-4.776250000000e-003	-1.61369e-002
-4.771050000000e-003	-1.61369e-002
-4.765850000000e-003	-1.61369e-002
-4.760650000000e-003	-2.01570e-002
-4.755450000000e-003	-1.61369e-002
-4.750250000000e-003	-2.01570e-002
-4.745050000000e-003	-1.61369e-002
-4.739850000000e-003	-1.61369e-002
-4.734650000000e-003	-1.61369e-002
-4.729450000000e-003	-2.01570e-002
-4.724250000000e-003	-2.01570e-002
-4.719050000000e-003	-2.01570e-002
-4.713850000000e-003	-1.61369e-002
-4.708650000000e-003	-2.01570e-002
-4.703450000000e-003	-2.01570e-002
-4.698250000000e-003	-1.61369e-002
-4.693050000000e-003	-2.01570e-002
-4.687850000000e-003	-1.61369e-002
-4.682650000000e-003	-1.61369e-002
-4.677450000000e-003	-2.01570e-002
-4.672250000000e-003	-2.01570e-002
-4.667050000000e-003	-2.01570e-002
-4.661850000000e-003	-2.41771e-002
-4.656650000000e-003	-1.61369e-002
-4.651450000000e-003	-2.01570e-002
-4.646250000000e-003	-2.41771e-002
-4.641050000000e-003	-2.01570e-002
-4.635850000000e-003	-2.01570e-002
-4.630650000000e-003	-1.61369e-002
-4.625450000000e-003	-2.01570e-002
-4.620250000000e-003	-1.61369e-002
-4.615050000000e-003	-1.61369e-002
