# laser 3 log-file
# log-file start-timestamp: 16.01.2012, 23:21
# Timebase	Jitter [MHz]	setpoint [MHz]	rel. Frequency [MHz]	dev. from setpoint [MHz]	in range? [1/0]	upper bound [MHz]	lower bound [MHz]
27377708	0.534832	0	0.604507	0.604507	1	2.000000	-2.000000
27377956	0.495256	0	0.088307	0.088307	1	2.000000	-2.000000
27378231	0.657655	0	0.194030	0.194030	1	2.000000	-2.000000
27378462	0.586716	0	-0.591406	-0.591406	1	2.000000	-2.000000
27378735	0.775878	0	-0.071079	-0.071079	1	2.000000	-2.000000
27379001	1.065894	0	0.766981	0.766981	1	2.000000	-2.000000
27381393	1.235359	4000	4002.810675	2.810675	0	4002.000000	3998.000000
27381714	1.134662	4000	3999.636662	-0.363338	1	4002.000000	3998.000000
27381935	1.001103	4000	4000.310543	0.310543	1	4002.000000	3998.000000
27382485	0.667606	4000	4000.502643	0.502643	1	4002.000000	3998.000000
27383035	1.307260	4000	4003.143698	3.143698	0	4002.000000	3998.000000
27383860	1.682032	4000	3997.377843	-2.622157	0	4002.000000	3998.000000
27384705	0.962446	4000	3998.959657	-1.040343	1	4002.000000	3998.000000
27384960	0.878915	4000	3998.014022	-1.985978	1	4002.000000	3998.000000
27385748	0.865743	4000	3997.601360	-2.398640	0	4002.000000	3998.000000
27386005	1.158149	4000	4000.478619	0.478619	1	4002.000000	3998.000000
27386280	1.130411	4000	4001.766338	1.766338	1	4002.000000	3998.000000
27387068	0.176001	4000	4002.062320	2.062320	0	4002.000000	3998.000000
27387305	1.834326	4000	4001.220349	1.220349	1	4002.000000	3998.000000
27387584	1.365797	4000	4000.351079	0.351079	1	4002.000000	3998.000000
27387789	0.537365	4000	4001.377628	1.377628	1	4002.000000	3998.000000
27388052	1.423581	4000	4000.225005	0.225005	1	4002.000000	3998.000000
27388288	0.668161	4000	3999.623180	-0.376820	1	4002.000000	3998.000000
27388822	0.926600	4000	3999.812282	-0.187718	1	4002.000000	3998.000000
27389936	0.963811	4000	3998.598268	-1.401732	1	4002.000000	3998.000000
27390197	0.687101	4000	3999.626156	-0.373844	1	4002.000000	3998.000000
27390785	0.652048	4000	3998.905449	-1.094551	1	4002.000000	3998.000000
27391040	1.112745	4000	3999.897773	-0.102227	1	4002.000000	3998.000000
27391627	0.488621	4000	3999.995333	-0.004667	1	4002.000000	3998.000000
27391849	1.827702	4000	4001.901631	1.901631	1	4002.000000	3998.000000
27392138	1.096936	4000	4000.378109	0.378109	1	4002.000000	3998.000000
27392397	0.621021	4000	3998.734376	-1.265624	1	4002.000000	3998.000000
27392617	1.117571	4000	3999.283752	-0.716248	1	4002.000000	3998.000000
27394848	1.099182	2000	2003.694657	3.694657	0	2002.000000	1998.000000
27395097	1.571673	2000	1998.007436	-1.992564	1	2002.000000	1998.000000
27395317	1.155452	2000	1999.915880	-0.084120	1	2002.000000	1998.000000
27395573	0.725544	2000	2000.144784	0.144784	1	2002.000000	1998.000000
27395812	0.839929	2000	1999.781034	-0.218966	1	2002.000000	1998.000000
27396058	0.833209	2000	1998.175699	-1.824301	1	2002.000000	1998.000000
27396802	0.283728	2000	1997.725870	-2.274130	0	2002.000000	1998.000000
27397054	0.607833	2000	2000.024940	0.024940	1	2002.000000	1998.000000
27397264	0.974174	2000	2001.134911	1.134911	1	2002.000000	1998.000000
27397488	1.442219	2000	2000.916132	0.916132	1	2002.000000	1998.000000
27398012	0.949837	2000	2002.031787	2.031787	0	2002.000000	1998.000000
27398232	0.916135	2000	1998.188352	-1.811648	1	2002.000000	1998.000000
27398507	0.712409	2000	1998.274447	-1.725553	1	2002.000000	1998.000000
27399336	1.125305	2000	1997.870995	-2.129005	0	2002.000000	1998.000000
27399557	0.965682	2000	1999.108761	-0.891239	1	2002.000000	1998.000000
27399777	0.610985	2000	1998.627502	-1.372498	1	2002.000000	1998.000000
27401977	0.397149	4500	4508.846574	8.846574	0	4502.000000	4498.000000
27402421	1.083802	4500	4502.110732	2.110732	0	4502.000000	4498.000000
27402646	0.744950	4500	4498.801010	-1.198990	1	4502.000000	4498.000000
27402912	0.795314	4500	4498.456831	-1.543169	1	4502.000000	4498.000000
27403407	0.560050	4500	4497.959148	-2.040852	0	4502.000000	4498.000000
27403627	0.980790	4500	4499.905464	-0.094536	1	4502.000000	4498.000000
27403858	1.053673	4500	4500.518405	0.518405	1	4502.000000	4498.000000
27404094	0.715993	4500	4499.728073	-0.271927	1	4502.000000	4498.000000
27404371	0.929227	4500	4498.752266	-1.247734	1	4502.000000	4498.000000
27404857	0.377728	4500	4499.830701	-0.169299	1	4502.000000	4498.000000
27405081	0.558951	4500	4499.884451	-0.115549	1	4502.000000	4498.000000
27405332	1.040289	4500	4499.197790	-0.802210	1	4502.000000	4498.000000
27405557	0.631501	4500	4500.008113	0.008113	1	4502.000000	4498.000000
27405780	1.438290	4500	4499.328840	-0.671160	1	4502.000000	4498.000000
27406013	0.631834	4500	4499.911528	-0.088472	1	4502.000000	4498.000000
27406223	0.779555	4500	4499.896171	-0.103829	1	4502.000000	4498.000000
27406439	0.650827	4500	4500.685310	0.685310	1	4502.000000	4498.000000
27406707	1.117755	4500	4500.297796	0.297796	1	4502.000000	4498.000000
27408869	0.707063	1000	983.958830	-16.041170	0	1002.000000	998.000000
27409347	0.515371	1000	992.997804	-7.002196	0	1002.000000	998.000000
27409570	0.937631	1000	998.938467	-1.061533	1	1002.000000	998.000000
27409803	0.941185	1000	999.888031	-0.111969	1	1002.000000	998.000000
