# laser 3 log-file
# log-file start-timestamp: 16.01.2012, 22:04
# Timebase	Jitter [MHz]	setpoint [MHz]	rel. Frequency [MHz]	dev. from setpoint [MHz]	in range? [1/0]	upper bound [MHz]	lower bound [MHz]
22735306	1.069652	-1000	-998.976276	1.023724	1	-998.000000	-1002.000000
22735550	0.586025	-1000	-999.888194	0.111806	1	-998.000000	-1002.000000
22735825	0.636363	-1000	-1000.932626	-0.932626	1	-998.000000	-1002.000000
22736048	2.502739	-1000	-999.043510	0.956490	1	-998.000000	-1002.000000
22736295	1.098457	-1000	-999.232356	0.767644	1	-998.000000	-1002.000000
22736540	1.238464	-1000	-999.235557	0.764443	1	-998.000000	-1002.000000
22736770	1.356200	-1000	-999.044372	0.955628	1	-998.000000	-1002.000000
22737311	1.073371	-1000	-997.557664	2.442336	0	-998.000000	-1002.000000
22737585	0.966915	-1000	-1000.230063	-0.230063	1	-998.000000	-1002.000000
22737851	0.838903	-1000	-1001.136842	-1.136842	1	-998.000000	-1002.000000
22738154	0.685617	-1000	-1001.792274	-1.792274	1	-998.000000	-1002.000000
22738650	0.838829	-1000	-1000.309823	-0.309823	1	-998.000000	-1002.000000
22739202	0.869332	-1000	-1002.160746	-2.160746	0	-998.000000	-1002.000000
22741904	1.340868	1000	949.408600	-50.591400	0	1002.000000	998.000000
22742425	0.741222	1000	958.106331	-41.893669	0	1002.000000	998.000000
22742893	0.581303	1000	970.057901	-29.942099	0	1002.000000	998.000000
22743453	0.494213	1000	981.274747	-18.725253	0	1002.000000	998.000000
22743941	0.672591	1000	980.193985	-19.806015	0	1002.000000	998.000000
22744423	0.853518	1000	992.719265	-7.280735	0	1002.000000	998.000000
22744681	0.487392	1000	1001.473465	1.473465	1	1002.000000	998.000000
22745175	0.810012	1000	1008.102683	8.102683	0	1002.000000	998.000000
22745725	2.859824	1000	1005.890950	5.890950	0	1002.000000	998.000000
22745960	3.716764	1000	999.717379	-0.282621	1	1002.000000	998.000000
22746514	0.654696	1000	997.136366	-2.863634	0	1002.000000	998.000000
22746738	0.561367	1000	999.028633	-0.971367	1	1002.000000	998.000000
22746990	0.271240	1000	999.784117	-0.215883	1	1002.000000	998.000000
22747226	0.552448	1000	998.682369	-1.317631	1	1002.000000	998.000000
22747485	0.536732	1000	998.400895	-1.599105	1	1002.000000	998.000000
22747707	0.707680	1000	999.014420	-0.985580	1	1002.000000	998.000000
22748231	0.626865	1000	997.889974	-2.110026	0	1002.000000	998.000000
22748493	0.814209	1000	1001.555436	1.555436	1	1002.000000	998.000000
22748992	0.749713	1000	1003.572033	3.572033	0	1002.000000	998.000000
22749537	0.483195	1000	998.577441	-1.422559	1	1002.000000	998.000000
22750401	0.653618	1000	999.904335	-0.095665	1	1002.000000	998.000000
22750647	0.693456	1000	1000.468951	0.468951	1	1002.000000	998.000000
22750896	0.490016	1000	999.826089	-0.173911	1	1002.000000	998.000000
22751171	0.420745	1000	999.719270	-0.280730	1	1002.000000	998.000000
22751413	0.221399	1000	998.986661	-1.013339	1	1002.000000	998.000000
22751721	0.737090	1000	999.236620	-0.763380	1	1002.000000	998.000000
22751942	0.658311	1000	999.661144	-0.338856	1	1002.000000	998.000000
22752216	0.678798	1000	999.285339	-0.714661	1	1002.000000	998.000000
22752444	1.055442	1000	999.463694	-0.536306	1	1002.000000	998.000000
