# laser 1 log-file
# log-file start-timestamp: 07.11.2011, 20:18
# Timebase	Jitter [MHz]	setpoint [MHz]	rel. Frequency [MHz]	dev. from setpoint [MHz]	in range? [1/0]	upper bound [MHz]	lower bound [MHz]
436511876	4.394434	0	7.454305	7.454305	0	3.000000	-3.000000
436513837	7.302057	0	7.080014	7.080014	0	3.000000	-3.000000
436514891	7.704540	0	20.103094	20.103094	0	3.000000	-3.000000
436515927	5.933710	0	14.084718	14.084718	0	3.000000	-3.000000
436518095	4.294468	0	54.071211	54.071211	0	3.000000	-3.000000
436519117	5.450027	0	36.349431	36.349431	0	3.000000	-3.000000
436520162	7.396659	0	24.633597	24.633597	0	3.000000	-3.000000
436521207	6.500865	0	20.001087	20.001087	0	3.000000	-3.000000
436522292	6.789543	0	1.333924	1.333924	1	3.000000	-3.000000
436523298	5.607290	0	10.514496	10.514496	0	3.000000	-3.000000
436524508	7.450544	0	6.026216	6.026216	0	3.000000	-3.000000
436526929	5.954111	0	16.430865	16.430865	0	3.000000	-3.000000
436528689	6.316234	0	-1.318242	-1.318242	1	3.000000	-3.000000
436529956	8.828650	0	53.153154	53.153154	0	3.000000	-3.000000
436531165	6.125161	0	-8.523543	-8.523543	0	3.000000	-3.000000
436532221	6.247889	0	30.507742	30.507742	0	3.000000	-3.000000
436533444	10.356479	0	24.213331	24.213331	0	3.000000	-3.000000
436534494	9.323381	0	74.574489	74.574489	0	3.000000	-3.000000
436535564	4.063044	0	59.295839	59.295839	0	3.000000	-3.000000
436536609	3.412113	0	59.681561	59.681561	0	3.000000	-3.000000
436537599	10.036249	0	60.621631	60.621631	0	3.000000	-3.000000
436538644	7.412802	0	36.934143	36.934143	0	3.000000	-3.000000
436539689	6.259110	0	40.708378	40.708378	0	3.000000	-3.000000
436540743	6.723239	0	36.016085	36.016085	0	3.000000	-3.000000
436542439	4.305766	0	68.576386	68.576386	0	3.000000	-3.000000
436543448	7.684497	0	63.375200	63.375200	0	3.000000	-3.000000
436545328	4.247725	0	78.996744	78.996744	0	3.000000	-3.000000
436546620	3.792976	0	50.651386	50.651386	0	3.000000	-3.000000
436547670	8.910255	0	64.985891	64.985891	0	3.000000	-3.000000
436548679	11.125043	0	69.922151	69.922151	0	3.000000	-3.000000
436549716	4.512761	0	70.290222	70.290222	0	3.000000	-3.000000
436550745	3.810123	0	77.652964	77.652964	0	3.000000	-3.000000
436551790	7.491747	0	78.162885	78.162885	0	3.000000	-3.000000
436552784	8.002687	0	71.839875	71.839875	0	3.000000	-3.000000
436553825	7.323473	0	67.658529	67.658529	0	3.000000	-3.000000
436554821	4.294548	0	61.029567	61.029567	0	3.000000	-3.000000
436555877	8.483032	0	57.766078	57.766078	0	3.000000	-3.000000
436556958	6.835990	0	52.564892	52.564892	0	3.000000	-3.000000
436557979	6.076209	0	52.360924	52.360924	0	3.000000	-3.000000
436559118	4.018171	0	52.462908	52.462908	0	3.000000	-3.000000
436560206	4.086500	0	16.564529	16.564529	0	3.000000	-3.000000
436561215	4.830946	0	61.459328	61.459328	0	3.000000	-3.000000
436562243	7.222509	0	35.125623	35.125623	0	3.000000	-3.000000
436563238	8.888003	0	33.929665	33.929665	0	3.000000	-3.000000
436564281	6.872653	0	24.765523	24.765523	0	3.000000	-3.000000
436565279	4.375177	0	42.698372	42.698372	0	3.000000	-3.000000
436566313	7.484608	0	45.833946	45.833946	0	3.000000	-3.000000
436567303	5.862799	0	28.525694	28.525694	0	3.000000	-3.000000
436568598	11.241279	0	100.918513	100.918513	0	3.000000	-3.000000
436569660	3.884741	0	34.643397	34.643397	0	3.000000	-3.000000
436570688	8.998121	0	31.890430	31.890430	0	3.000000	-3.000000
436571649	8.365959	0	24.855072	24.855072	0	3.000000	-3.000000
436572691	7.132222	0	54.627893	54.627893	0	3.000000	-3.000000
436573721	9.074593	0	59.420094	59.420094	0	3.000000	-3.000000
436574751	8.065172	0	81.035978	81.035978	0	3.000000	-3.000000
436575802	4.336361	0	71.227970	71.227970	0	3.000000	-3.000000
436576833	8.155918	0	63.804448	63.804448	0	3.000000	-3.000000
436578027	8.916552	0	74.714351	74.714351	0	3.000000	-3.000000
436579072	7.282551	0	54.447324	54.447324	0	3.000000	-3.000000
436580365	7.197478	0	69.106457	69.106457	0	3.000000	-3.000000
436581334	4.051959	0	90.926264	90.926264	0	3.000000	-3.000000
436582372	6.495981	0	58.604400	58.604400	0	3.000000	-3.000000
436583383	6.332476	0	93.999816	93.999816	0	3.000000	-3.000000
436584493	5.360994	0	58.626840	58.626840	0	3.000000	-3.000000
436585519	5.573028	0	66.985872	66.985872	0	3.000000	-3.000000
436587010	9.843269	0	80.136056	80.136056	0	3.000000	-3.000000
436588697	4.396589	0	67.271146	67.271146	0	3.000000	-3.000000
436589697	8.593333	0	64.110333	64.110333	0	3.000000	-3.000000
436590704	6.863043	0	73.184926	73.184926	0	3.000000	-3.000000
436591777	6.390319	0	63.273216	63.273216	0	3.000000	-3.000000
436592827	7.130183	0	47.184688	47.184688	0	3.000000	-3.000000
436593922	6.603466	0	64.700992	64.700992	0	3.000000	-3.000000
436594915	6.125860	0	76.753586	76.753586	0	3.000000	-3.000000
436595958	3.487854	0	20.541906	20.541906	0	3.000000	-3.000000
436597241	7.569255	0	28.598645	28.598645	0	3.000000	-3.000000
436599093	5.784288	0	24.345263	24.345263	0	3.000000	-3.000000
436600117	4.660670	0	28.292693	28.292693	0	3.000000	-3.000000
436601183	7.743992	0	46.368994	46.368994	0	3.000000	-3.000000
436602230	7.573716	0	51.467080	51.467080	0	3.000000	-3.000000
436603273	5.868916	0	38.212057	38.212057	0	3.000000	-3.000000
436604323	4.512793	0	22.275635	22.275635	0	3.000000	-3.000000
436605378	11.588969	0	31.992392	31.992392	0	3.000000	-3.000000
436606427	5.566090	0	18.635407	18.635407	0	3.000000	-3.000000
436607409	4.543389	0	33.493878	33.493878	0	3.000000	-3.000000
436608443	6.040514	0	37.675224	37.675224	0	3.000000	-3.000000
436609489	6.858426	0	47.771643	47.771643	0	3.000000	-3.000000
436610534	5.204126	0	46.063109	46.063109	0	3.000000	-3.000000
436611579	6.424608	0	95.412580	95.412580	0	3.000000	-3.000000
436612576	8.664563	0	73.165667	73.165667	0	3.000000	-3.000000
436613615	7.928239	0	18.298257	18.298257	0	3.000000	-3.000000
436614670	3.142816	0	29.793698	29.793698	0	3.000000	-3.000000
436615672	6.600407	0	17.176433	17.176433	0	3.000000	-3.000000
436616750	7.186815	0	25.335156	25.335156	0	3.000000	-3.000000
436617795	6.465788	0	12.281200	12.281200	0	3.000000	-3.000000
436619225	4.715742	0	23.703411	23.703411	0	3.000000	-3.000000
436620215	4.169107	0	-0.976725	-0.976725	1	3.000000	-3.000000
436621260	9.195927	0	6.400001	6.400001	0	3.000000	-3.000000
436622316	6.739105	0	15.136752	15.136752	0	3.000000	-3.000000
436623381	8.068231	0	24.651149	24.651149	0	3.000000	-3.000000
436624395	7.825235	0	22.479603	22.479603	0	3.000000	-3.000000
436625441	6.210828	0	27.986741	27.986741	0	3.000000	-3.000000
436626650	4.286389	0	40.020856	40.020856	0	3.000000	-3.000000
436627722	7.411782	0	92.221589	92.221589	0	3.000000	-3.000000
436628773	6.650379	0	37.063319	37.063319	0	3.000000	-3.000000
436629833	6.516166	0	73.044394	73.044394	0	3.000000	-3.000000
436630832	7.314295	0	60.111711	60.111711	0	3.000000	-3.000000
436631885	4.795319	0	54.989268	54.989268	0	3.000000	-3.000000
436632942	9.061281	0	62.865280	62.865280	0	3.000000	-3.000000
436633996	8.184990	0	61.313662	61.313662	0	3.000000	-3.000000
436635014	7.760985	0	49.811324	49.811324	0	3.000000	-3.000000
436636008	4.963629	0	44.686626	44.686626	0	3.000000	-3.000000
436637101	6.272018	0	24.621267	24.621267	0	3.000000	-3.000000
436638116	7.487267	0	30.813761	30.813761	0	3.000000	-3.000000
436639141	8.885869	0	47.975611	47.975611	0	3.000000	-3.000000
436640181	6.359076	0	46.012709	46.012709	0	3.000000	-3.000000
436641226	9.231595	0	60.315679	60.315679	0	3.000000	-3.000000
436642288	8.863332	0	51.929077	51.929077	0	3.000000	-3.000000
436643332	7.027218	0	38.770257	38.770257	0	3.000000	-3.000000
436644434	4.264886	0	22.755259	22.755259	0	3.000000	-3.000000
436645464	14.291091	0	61.211656	61.211656	0	3.000000	-3.000000
436646567	4.868763	0	40.606372	40.606372	0	3.000000	-3.000000
436647581	7.606614	0	18.164973	18.164973	0	3.000000	-3.000000
436649215	6.799192	0	22.929007	22.929007	0	3.000000	-3.000000
436650216	6.026536	0	53.255160	53.255160	0	3.000000	-3.000000
436651292	3.896810	0	47.465691	47.465691	0	3.000000	-3.000000
436652392	15.834447	0	73.860444	73.860444	0	3.000000	-3.000000
436653511	7.039958	0	33.289910	33.289910	0	3.000000	-3.000000
436654543	8.299237	0	43.054524	43.054524	0	3.000000	-3.000000
436655607	6.416835	0	30.230389	30.230389	0	3.000000	-3.000000
436656660	5.956151	0	31.833825	31.833825	0	3.000000	-3.000000
436657672	5.983693	0	25.305418	25.305418	0	3.000000	-3.000000
436658693	7.122084	0	28.365609	28.365609	0	3.000000	-3.000000
436659711	3.788516	0	19.287043	19.287043	0	3.000000	-3.000000
436660707	5.935750	0	30.609748	30.609748	0	3.000000	-3.000000
436661797	7.142552	0	25.450005	25.450005	0	3.000000	-3.000000
436663007	7.669858	0	24.387361	24.387361	0	3.000000	-3.000000
436664058	10.093699	0	19.970175	19.970175	0	3.000000	-3.000000
436665152	5.635851	0	1.537936	1.537936	1	3.000000	-3.000000
436666166	4.587226	0	3.680070	3.680070	0	3.000000	-3.000000
436667483	7.555225	0	-9.516118	-9.516118	0	3.000000	-3.000000
436668467	6.070398	0	-4.990471	-4.990471	0	3.000000	-3.000000
436669628	3.514119	0	15.104782	15.104782	0	3.000000	-3.000000
436670708	6.911951	0	27.345545	27.345545	0	3.000000	-3.000000
436671808	5.434899	0	3.884083	3.884083	0	3.000000	-3.000000
436672853	7.751120	0	5.482100	5.482100	0	3.000000	-3.000000
436674635	4.687192	0	2.455994	2.455994	1	3.000000	-3.000000
436675740	4.598447	0	12.248604	12.248604	0	3.000000	-3.000000
436676774	5.921469	0	42.442486	42.442486	0	3.000000	-3.000000
436677765	5.840884	0	33.159907	33.159907	0	3.000000	-3.000000
436678811	7.994238	0	24.999399	24.999399	0	3.000000	-3.000000
436679838	6.020713	0	18.235687	18.235687	0	3.000000	-3.000000
436680883	4.192564	0	8.303822	8.303822	0	3.000000	-3.000000
436681943	7.363839	0	15.920833	15.920833	0	3.000000	-3.000000
436682998	7.911305	0	19.970175	19.970175	0	3.000000	-3.000000
436684023	7.156766	0	6.638254	6.638254	0	3.000000	-3.000000
436685065	7.793620	0	4.836365	4.836365	0	3.000000	-3.000000
436686063	5.256388	0	-1.930280	-1.930280	1	3.000000	-3.000000
436687116	4.051693	0	-8.458687	-8.458687	0	3.000000	-3.000000
436688200	11.908222	0	9.086407	9.086407	0	3.000000	-3.000000
436689221	6.532487	0	21.531183	21.531183	0	3.000000	-3.000000
436690260	3.778316	0	45.094651	45.094651	0	3.000000	-3.000000
436691511	6.623273	0	58.253472	58.253472	0	3.000000	-3.000000
436692545	6.854827	0	44.074588	44.074588	0	3.000000	-3.000000
436693590	5.762339	0	46.318728	46.318728	0	3.000000	-3.000000
436694596	12.995610	0	81.408915	81.408915	0	3.000000	-3.000000
