# laser 1 log-file
# log-file start-timestamp: 08.11.2011, 13:13
# Timebase	Jitter [MHz]	setpoint [MHz]	rel. Frequency [MHz]	dev. from setpoint [MHz]	in range? [1/0]	upper bound [MHz]	lower bound [MHz]
497431555	9.195561	0	4.970530	4.970530	1	5.000000	-5.000000
497432810	6.138537	0	-2.886307	-2.886307	1	5.000000	-5.000000
497433580	7.425221	0	-2.411496	-2.411496	1	5.000000	-5.000000
497434322	3.081513	0	-2.615569	-2.615569	1	5.000000	-5.000000
497435121	7.089032	0	0.875946	0.875946	1	5.000000	-5.000000
497435891	10.198776	0	-4.869287	-4.869287	1	5.000000	-5.000000
497436638	3.890665	0	2.827756	2.827756	1	5.000000	-5.000000
497437386	11.029163	0	-2.682234	-2.682234	1	5.000000	-5.000000
497438165	3.989494	0	0.131614	0.131614	1	5.000000	-5.000000
497438925	4.353912	0	-0.743533	-0.743533	1	5.000000	-5.000000
497439717	5.484480	0	-4.008713	-4.008713	1	5.000000	-5.000000
497440897	6.107222	0	-8.645477	-8.645477	0	5.000000	-5.000000
497441895	3.548842	0	-1.355755	-1.355755	1	5.000000	-5.000000
497443404	8.779132	0	-0.991037	-0.991037	1	5.000000	-5.000000
497444428	2.761722	0	4.111923	4.111923	1	5.000000	-5.000000
497445242	3.178448	0	4.358309	4.358309	1	5.000000	-5.000000
497446287	5.242653	0	4.970530	4.970530	1	5.000000	-5.000000
497447057	5.739809	0	0.846029	0.846029	1	5.000000	-5.000000
497447827	11.029163	0	4.154235	4.154235	1	5.000000	-5.000000
497448833	7.115029	0	-1.049644	-1.049644	1	5.000000	-5.000000
497449614	9.705745	0	-0.166685	-0.166685	1	5.000000	-5.000000
497450357	6.189555	0	2.725719	2.725719	1	5.000000	-5.000000
497451127	6.326940	0	-0.290729	-0.290729	1	5.000000	-5.000000
497453356	2.777855	0	3.177764	3.177764	1	5.000000	-5.000000
497454152	4.237682	0	3.483808	3.483808	1	5.000000	-5.000000
497454922	6.597702	0	2.894420	2.894420	1	5.000000	-5.000000
497455913	5.681188	0	5.932156	5.932156	0	5.000000	-5.000000
497456659	8.085670	0	2.565677	2.565677	1	5.000000	-5.000000
497457728	4.298891	0	-2.229004	-2.229004	1	5.000000	-5.000000
497458663	4.016170	0	-6.492969	-6.492969	0	5.000000	-5.000000
497459433	6.002828	0	1.501277	1.501277	1	5.000000	-5.000000
497460148	7.056343	0	1.340123	1.340123	1	5.000000	-5.000000
497460870	1.983596	0	2.521646	2.521646	1	5.000000	-5.000000
497461665	2.801932	0	4.460346	4.460346	1	5.000000	-5.000000
497462623	7.177823	0	0.263591	0.263591	1	5.000000	-5.000000
497463355	3.251606	0	1.152206	1.152206	1	5.000000	-5.000000
497464163	5.893648	0	1.399240	1.399240	1	5.000000	-5.000000
497464942	4.000721	0	1.356324	1.356324	1	5.000000	-5.000000
497465977	5.069191	0	2.419609	2.419609	1	5.000000	-5.000000
497466754	12.242001	0	1.254265	1.254265	1	5.000000	-5.000000
497467518	4.986612	0	2.683094	2.683094	1	5.000000	-5.000000
497468453	5.795942	0	5.744870	5.744870	0	5.000000	-5.000000
497469192	5.693883	0	-0.888978	-0.888978	1	5.000000	-5.000000
497469993	5.664065	0	2.623682	2.623682	1	5.000000	-5.000000
497470718	3.174737	0	-0.932404	-0.932404	1	5.000000	-5.000000
497472083	7.502769	0	0.480909	0.480909	1	5.000000	-5.000000
497472900	5.789818	0	1.662502	1.662502	1	5.000000	-5.000000
497473626	4.758000	0	1.254265	1.254265	1	5.000000	-5.000000
497474449	5.199916	0	-0.174563	-0.174563	1	5.000000	-5.000000
497475243	7.107403	0	-3.950754	-3.950754	1	5.000000	-5.000000
497476012	5.916372	0	-0.072504	-0.072504	1	5.000000	-5.000000
497476759	5.618359	0	1.050147	1.050147	1	5.000000	-5.000000
497477535	4.724320	0	-0.786919	-0.786919	1	5.000000	-5.000000
497478377	3.607562	0	-0.524078	-0.524078	1	5.000000	-5.000000
497479399	3.251298	0	-2.055302	-2.055302	1	5.000000	-5.000000
497480169	6.033740	0	-1.195155	-1.195155	1	5.000000	-5.000000
497480892	3.156691	0	0.948088	0.948088	1	5.000000	-5.000000
497481710	6.422972	0	-1.034486	-1.034486	1	5.000000	-5.000000
497482512	3.319986	0	-1.093096	-1.093096	1	5.000000	-5.000000
497483261	7.842926	0	-0.115752	-0.115752	1	5.000000	-5.000000
497484020	3.439395	0	-2.215747	-2.215747	1	5.000000	-5.000000
497484955	5.377657	0	-8.180195	-8.180195	0	5.000000	-5.000000
497485780	5.171340	0	-0.480741	-0.480741	1	5.000000	-5.000000
497486608	3.687186	0	4.171674	4.171674	1	5.000000	-5.000000
