# laser 1 log-file
# log-file start-timestamp: 08.11.2011, 10:45
# Timebase	Jitter [MHz]	setpoint [MHz]	rel. Frequency [MHz]	dev. from setpoint [MHz]	in range? [1/0]	upper bound [MHz]	lower bound [MHz]
488506165	2.080838	0	-3.789247	-3.789247	0	3.000000	-3.000000
488507667	4.316264	0	-3.280733	-3.280733	0	3.000000	-3.000000
488508432	3.705239	0	-3.653939	-3.653939	0	3.000000	-3.000000
488509245	4.820710	0	0.889079	0.889079	1	3.000000	-3.000000
488510011	2.149996	0	-0.839868	-0.839868	1	3.000000	-3.000000
488510835	4.009264	0	-0.705204	-0.705204	1	3.000000	-3.000000
488511566	2.530364	0	-5.009680	-5.009680	0	3.000000	-3.000000
488512380	3.237198	0	-6.128410	-6.128410	0	3.000000	-3.000000
488513150	3.138546	0	-3.890950	-3.890950	0	3.000000	-3.000000
488513975	5.549918	0	-3.077328	-3.077328	0	3.000000	-3.000000
488514723	2.312216	0	-2.027051	-2.027051	1	3.000000	-3.000000
488515463	4.597967	0	-4.026339	-4.026339	0	3.000000	-3.000000
488516244	3.275130	0	0.006560	0.006560	1	3.000000	-3.000000
488518032	3.228045	0	-5.619896	-5.619896	0	3.000000	-3.000000
488518765	3.694054	0	-5.687550	-5.687550	0	3.000000	-3.000000
488519530	3.213806	0	-3.077328	-3.077328	0	3.000000	-3.000000
488520355	3.735542	0	-2.365409	-2.365409	1	3.000000	-3.000000
488521456	4.260328	0	-7.145437	-7.145437	0	3.000000	-3.000000
488522281	2.930433	0	-9.856452	-9.856452	0	3.000000	-3.000000
488523051	3.120240	0	-6.942032	-6.942032	0	3.000000	-3.000000
488523821	2.586301	0	-2.975625	-2.975625	1	3.000000	-3.000000
488524591	2.756559	0	-1.823690	-1.823690	1	3.000000	-3.000000
488525378	6.102164	0	-9.993114	-9.993114	0	3.000000	-3.000000
488526241	3.594407	0	-6.500995	-6.500995	0	3.000000	-3.000000
488527123	2.588335	0	-8.365870	-8.365870	0	3.000000	-3.000000
488527905	3.646043	0	-5.721599	-5.721599	0	3.000000	-3.000000
488528751	2.602005	0	-5.789231	-5.789231	0	3.000000	-3.000000
488529542	2.932090	0	-4.297761	-4.297761	0	3.000000	-3.000000
488530279	3.191432	0	-5.925005	-5.925005	0	3.000000	-3.000000
488531877	3.672486	0	-5.416491	-5.416491	0	3.000000	-3.000000
488532622	3.631012	0	-4.264023	-4.264023	0	3.000000	-3.000000
488533411	4.923430	0	-7.755654	-7.755654	0	3.000000	-3.000000
488534162	3.224681	0	-10.028111	-10.028111	0	3.000000	-3.000000
488534915	3.776415	0	-4.162342	-4.162342	0	3.000000	-3.000000
488535979	4.775961	0	-9.484600	-9.484600	0	3.000000	-3.000000
488536980	3.845380	0	-3.382436	-3.382436	0	3.000000	-3.000000
488538012	2.778519	0	-6.026707	-6.026707	0	3.000000	-3.000000
488539058	5.232606	0	-4.094355	-4.094355	0	3.000000	-3.000000
488540050	3.609430	0	-10.603331	-10.603331	0	3.000000	-3.000000
488540990	4.215675	0	-3.043856	-3.043856	0	3.000000	-3.000000
488541975	3.340935	0	-2.772220	-2.772220	1	3.000000	-3.000000
488543020	4.209672	0	-6.365125	-6.365125	0	3.000000	-3.000000
488544065	3.079559	0	-6.433518	-6.433518	0	3.000000	-3.000000
488545110	2.767744	0	-5.687550	-5.687550	0	3.000000	-3.000000
488546177	3.005677	0	-3.043856	-3.043856	0	3.000000	-3.000000
488547200	3.712563	0	-4.941908	-4.941908	0	3.000000	-3.000000
488548561	3.606838	0	-4.738591	-4.738591	0	3.000000	-3.000000
488549519	3.462222	0	-8.229564	-8.229564	0	3.000000	-3.000000
488550497	3.317836	0	-6.195953	-6.195953	0	3.000000	-3.000000
488552315	3.324662	0	-2.263706	-2.263706	1	3.000000	-3.000000
488553360	2.988391	0	-0.196801	-0.196801	1	3.000000	-3.000000
488554301	3.480268	0	-1.755192	-1.755192	1	3.000000	-3.000000
488555285	3.959440	0	-4.060662	-4.060662	0	3.000000	-3.000000
488556331	3.125660	0	-0.603523	-0.603523	1	3.000000	-3.000000
488557377	4.672218	0	-4.128641	-4.128641	0	3.000000	-3.000000
488558477	4.143482	0	-2.637134	-2.637134	1	3.000000	-3.000000
488559522	3.310718	0	-6.500995	-6.500995	0	3.000000	-3.000000
488560588	4.469918	0	-1.790499	-1.790499	1	3.000000	-3.000000
488562768	2.604487	0	-6.466783	-6.466783	0	3.000000	-3.000000
488563812	5.255867	0	-4.365703	-4.365703	0	3.000000	-3.000000
488564857	2.400678	0	-4.874106	-4.874106	0	3.000000	-3.000000
488565884	2.888744	0	-7.009397	-7.009397	0	3.000000	-3.000000
488566837	4.007230	0	-0.501843	-0.501843	1	3.000000	-3.000000
488567772	3.516113	0	-3.755620	-3.755620	0	3.000000	-3.000000
488568762	2.627868	0	-2.197132	-2.197132	1	3.000000	-3.000000
488569752	4.409831	0	-2.772220	-2.772220	1	3.000000	-3.000000
488570797	3.817088	0	-1.213606	-1.213606	1	3.000000	-3.000000
488571787	3.057534	0	-4.365703	-4.365703	0	3.000000	-3.000000
488572777	4.242203	0	-8.194975	-8.194975	0	3.000000	-3.000000
488573712	3.546860	0	-7.076733	-7.076733	0	3.000000	-3.000000
488574686	2.455530	0	-8.973491	-8.973491	0	3.000000	-3.000000
488576683	2.774062	0	-8.227457	-8.227457	0	3.000000	-3.000000
488577728	5.600153	0	-8.058765	-8.058765	0	3.000000	-3.000000
488579822	2.937661	0	-7.109703	-7.109703	0	3.000000	-3.000000
488580866	4.190562	0	-7.617773	-7.617773	0	3.000000	-3.000000
488581634	3.843880	0	-7.245676	-7.245676	0	3.000000	-3.000000
488582363	6.999684	0	-7.652221	-7.652221	0	3.000000	-3.000000
