# laser 2 log-file
# log-file start-timestamp: 15.01.2012, 22:28
# Timebase	Jitter [MHz]	setpoint [MHz]	rel. Frequency [MHz]	dev. from setpoint [MHz]	in range? [1/0]	upper bound [MHz]	lower bound [MHz]
1031069746	5.646628	0	-2.480855	-2.480855	0	2.000000	-2.000000
1031070022	2.846280	0	-3.461996	-3.461996	0	2.000000	-2.000000
1031070252	6.803886	0	2.649167	2.649167	0	2.000000	-2.000000
1031070806	2.912941	0	1.199002	1.199002	1	2.000000	-2.000000
1031071067	6.872312	0	2.746592	2.746592	0	2.000000	-2.000000
1031071302	3.410484	0	0.374585	0.374585	1	2.000000	-2.000000
1031071509	8.085803	0	-2.090377	-2.090377	0	2.000000	-2.000000
1031071810	7.618249	0	-0.282936	-0.282936	1	2.000000	-2.000000
1031072021	5.456993	0	-0.019796	-0.019796	1	2.000000	-2.000000
1031072277	3.769131	0	-0.079595	-0.079595	1	2.000000	-2.000000
1031072850	5.200437	0	1.303955	1.303955	1	2.000000	-2.000000
1031073111	4.036991	0	0.118094	0.118094	1	2.000000	-2.000000
1031073406	6.845772	0	-0.689789	-0.689789	1	2.000000	-2.000000
1031074313	3.524655	0	-1.323676	-1.323676	1	2.000000	-2.000000
1031074544	3.024851	0	0.333107	0.333107	1	2.000000	-2.000000
1031074837	4.446143	0	-1.063287	-1.063287	1	2.000000	-2.000000
1031075082	4.425890	0	-0.224255	-0.224255	1	2.000000	-2.000000
1031075373	6.986687	0	-2.406553	-2.406553	0	2.000000	-2.000000
1031075962	4.703677	0	-3.049025	-3.049025	0	2.000000	-2.000000
1031076266	5.083412	0	0.830484	0.830484	1	2.000000	-2.000000
1031076797	7.187030	0	0.963837	0.963837	1	2.000000	-2.000000
1031077021	4.831952	0	-0.616809	-0.616809	1	2.000000	-2.000000
1031077250	10.506539	0	0.568306	0.568306	1	2.000000	-2.000000
1031077502	6.892766	0	-0.414272	-0.414272	1	2.000000	-2.000000
1031077777	4.675920	0	1.522722	1.522722	1	2.000000	-2.000000
1031078038	4.472825	0	1.199002	1.199002	1	2.000000	-2.000000
1031078250	10.726419	0	0.495241	0.495241	1	2.000000	-2.000000
1031078444	7.062329	0	-1.873386	-1.873386	1	2.000000	-2.000000
1031079097	7.579136	0	1.243849	1.243849	1	2.000000	-2.000000
1031079395	2.513870	0	-0.456456	-0.456456	1	2.000000	-2.000000
1031079620	3.979391	0	-2.379635	-2.379635	0	2.000000	-2.000000
1031079839	7.163617	0	1.969195	1.969195	1	2.000000	-2.000000
1031080087	4.489291	0	1.629453	1.629453	1	2.000000	-2.000000
1031080644	5.326636	0	-0.172221	-0.172221	1	2.000000	-2.000000
1031081242	2.626092	0	-0.386111	-0.386111	1	2.000000	-2.000000
1031081816	3.393038	0	0.700344	0.700344	1	2.000000	-2.000000
1031082367	6.131772	0	-1.169000	-1.169000	1	2.000000	-2.000000
1031082617	3.643426	0	0.230982	0.230982	1	2.000000	-2.000000
1031082859	7.174756	0	-0.791015	-0.791015	1	2.000000	-2.000000
1031083123	9.405190	0	0.925519	0.925519	1	2.000000	-2.000000
1031083361	6.686780	0	-1.604880	-1.604880	1	2.000000	-2.000000
1031083607	4.673191	0	0.268460	0.268460	1	2.000000	-2.000000
1031083842	5.842070	0	-0.622720	-0.622720	1	2.000000	-2.000000
1031084441	7.005261	0	1.867963	1.867963	1	2.000000	-2.000000
1031084707	9.372633	0	-0.362269	-0.362269	1	2.000000	-2.000000
1031085367	4.863911	0	0.611688	0.611688	1	2.000000	-2.000000
1031085599	3.461211	0	-2.844715	-2.844715	0	2.000000	-2.000000
1031085862	6.803611	0	1.170075	1.170075	1	2.000000	-2.000000
1031086412	6.504551	0	0.709134	0.709134	1	2.000000	-2.000000
