# laser 2 log-file
# log-file start-timestamp: 16.01.2012, 00:44
# Timebase	Jitter [MHz]	setpoint [MHz]	rel. Frequency [MHz]	dev. from setpoint [MHz]	in range? [1/0]	upper bound [MHz]	lower bound [MHz]
1039204987	3.072464	0	-0.711906	-0.711906	1	2.000000	-2.000000
1039205268	3.196408	0	2.606988	2.606988	0	2.000000	-2.000000
1039205839	2.535862	0	4.778559	4.778559	0	2.000000	-2.000000
1039206142	4.794404	0	-1.760876	-1.760876	1	2.000000	-2.000000
1039206417	2.127849	0	6.252897	6.252897	0	2.000000	-2.000000
1039206967	2.774681	0	12.541005	12.541005	0	2.000000	-2.000000
1039207203	2.861412	0	14.640260	14.640260	0	2.000000	-2.000000
1039207470	4.215465	0	19.129957	19.129957	0	2.000000	-2.000000
1039207737	1.807569	0	17.519324	17.519324	0	2.000000	-2.000000
1039208012	2.879586	0	17.642415	17.642415	0	2.000000	-2.000000
1039208232	3.253967	0	21.339970	21.339970	0	2.000000	-2.000000
1039208837	3.775070	0	16.919376	16.919376	0	2.000000	-2.000000
1039209112	3.619829	0	20.412339	20.412339	0	2.000000	-2.000000
1039209387	6.746508	0	14.601757	14.601757	0	2.000000	-2.000000
1039209912	8.840909	0	-9.290389	-9.290389	0	2.000000	-2.000000
1039210157	6.957831	0	-24.343243	-24.343243	0	2.000000	-2.000000
1039210660	2.028911	0	-21.284532	-21.284532	0	2.000000	-2.000000
1039211224	5.620888	0	-34.693254	-34.693254	0	2.000000	-2.000000
1039211491	3.361830	0	-18.090301	-18.090301	0	2.000000	-2.000000
1039211712	4.334751	0	-10.318997	-10.318997	0	2.000000	-2.000000
1039211972	7.341557	0	-32.029595	-32.029595	0	2.000000	-2.000000
1039212522	2.729532	0	-24.812085	-24.812085	0	2.000000	-2.000000
1039212742	3.336806	0	-24.268123	-24.268123	0	2.000000	-2.000000
1039213023	11.980249	0	-70.409310	-70.409310	0	2.000000	-2.000000
1039213292	4.104185	0	-75.750952	-75.750952	0	2.000000	-2.000000
1039213845	8.046308	0	-43.673196	-43.673196	0	2.000000	-2.000000
1039214089	6.115279	0	-27.168832	-27.168832	0	2.000000	-2.000000
1039214337	6.187368	0	-87.813569	-87.813569	0	2.000000	-2.000000
1039214629	1.865802	0	-53.388356	-53.388356	0	2.000000	-2.000000
1039214887	4.425516	0	-35.762418	-35.762418	0	2.000000	-2.000000
1039215127	5.796081	0	-17.241058	-17.241058	0	2.000000	-2.000000
1039215327	6.964214	0	-16.001754	-16.001754	0	2.000000	-2.000000
1039215554	2.094910	0	-6.088187	-6.088187	0	2.000000	-2.000000
1039215822	4.962624	0	-32.775585	-32.775585	0	2.000000	-2.000000
1039216372	8.833993	0	-51.398629	-51.398629	0	2.000000	-2.000000
1039216959	3.357163	0	-19.250450	-19.250450	0	2.000000	-2.000000
1039217208	4.134449	0	-12.334850	-12.334850	0	2.000000	-2.000000
1039217473	13.136008	0	-36.699345	-36.699345	0	2.000000	-2.000000
1039217748	3.283101	0	-40.623323	-40.623323	0	2.000000	-2.000000
1039217972	4.824442	0	-74.191061	-74.191061	0	2.000000	-2.000000
1039218188	4.871140	0	-43.713221	-43.713221	0	2.000000	-2.000000
1039218434	3.931904	0	-39.247644	-39.247644	0	2.000000	-2.000000
1039219242	2.123553	0	-40.239232	-40.239232	0	2.000000	-2.000000
1039219523	5.141618	0	-32.716915	-32.716915	0	2.000000	-2.000000
1039219786	13.542000	0	-39.132544	-39.132544	0	2.000000	-2.000000
1039220081	4.363245	0	-76.525132	-76.525132	0	2.000000	-2.000000
1039220608	3.405059	0	-29.701904	-29.701904	0	2.000000	-2.000000
1039220883	4.636602	0	-40.476920	-40.476920	0	2.000000	-2.000000
1039221488	4.677595	0	-47.050442	-47.050442	0	2.000000	-2.000000
1039221763	10.142594	0	-48.677681	-48.677681	0	2.000000	-2.000000
1039222038	6.948744	0	-41.761282	-41.761282	0	2.000000	-2.000000
1039222258	3.157901	0	-20.861188	-20.861188	0	2.000000	-2.000000
1039222808	3.769215	0	-34.415137	-34.415137	0	2.000000	-2.000000
1039223358	3.755084	0	-26.540286	-26.540286	0	2.000000	-2.000000
1039223590	5.350320	0	-9.161189	-9.161189	0	2.000000	-2.000000
1039223853	4.127097	0	-7.061467	-7.061467	0	2.000000	-2.000000
1039224128	3.978279	0	-18.458550	-18.458550	0	2.000000	-2.000000
1039224637	4.423320	0	-16.701812	-16.701812	0	2.000000	-2.000000
1039224860	13.042898	0	-37.854572	-37.854572	0	2.000000	-2.000000
1039225118	6.563722	0	-79.590120	-79.590120	0	2.000000	-2.000000
1039225677	5.526074	0	-62.404375	-62.404375	0	2.000000	-2.000000
1039226218	1.989029	0	-86.094311	-86.094311	0	2.000000	-2.000000
1039226457	4.804366	0	-87.394835	-87.394835	0	2.000000	-2.000000
1039227062	5.422303	0	-63.318779	-63.318779	0	2.000000	-2.000000
