# laser 2 log-file
# log-file start-timestamp: 07.11.2011, 20:18
# Timebase	Jitter [MHz]	setpoint [MHz]	rel. Frequency [MHz]	dev. from setpoint [MHz]	in range? [1/0]	upper bound [MHz]	lower bound [MHz]
436513456	0.675650	0	-0.213813	-0.213813	1	2.000000	-2.000000
436514552	0.888929	0	-0.053453	-0.053453	1	2.000000	-2.000000
436515592	0.541482	0	-0.213813	-0.213813	1	2.000000	-2.000000
436517773	0.782193	0	-0.215814	-0.215814	1	2.000000	-2.000000
436518787	0.598274	0	0.051511	0.051511	1	2.000000	-2.000000
436519787	1.163654	0	0.370428	0.370428	1	2.000000	-2.000000
436520831	1.228626	0	0.479231	0.479231	1	2.000000	-2.000000
436521950	0.953816	0	0.960416	0.960416	1	2.000000	-2.000000
436522938	1.192805	0	1.281206	1.281206	1	2.000000	-2.000000
436524088	0.802151	0	0.584335	0.584335	1	2.000000	-2.000000
436525428	0.648531	0	0.800021	0.800021	1	2.000000	-2.000000
436528304	0.964720	0	1.065625	1.065625	1	2.000000	-2.000000
436529586	1.142832	0	0.908706	0.908706	1	2.000000	-2.000000
436530834	1.119847	0	0.962160	0.962160	1	2.000000	-2.000000
436531879	1.194409	0	0.960416	0.960416	1	2.000000	-2.000000
436533110	0.862737	0	0.694893	0.694893	1	2.000000	-2.000000
436534163	0.914252	0	0.586161	0.586161	1	2.000000	-2.000000
436535195	0.746208	0	0.962160	0.962160	1	2.000000	-2.000000
436536279	0.862391	0	1.120811	1.120811	1	2.000000	-2.000000
436537269	0.762244	0	0.320720	0.320720	1	2.000000	-2.000000
436538280	1.202963	0	0.479231	0.479231	1	2.000000	-2.000000
436539320	1.029511	0	1.069066	1.069066	1	2.000000	-2.000000
436540404	0.620059	0	1.443240	1.443240	1	2.000000	-2.000000
436542069	0.487601	0	0.906951	0.906951	1	2.000000	-2.000000
436543129	1.031958	0	0.643253	0.643253	1	2.000000	-2.000000
436544970	0.408828	0	1.124227	1.124227	1	2.000000	-2.000000
436546015	0.397158	0	0.908706	0.908706	1	2.000000	-2.000000
436547335	1.162355	0	0.696694	0.696694	1	2.000000	-2.000000
436548346	1.258291	0	0.908706	0.908706	1	2.000000	-2.000000
436549370	0.945055	0	0.694893	0.694893	1	2.000000	-2.000000
436550415	0.717344	0	0.641440	0.641440	1	2.000000	-2.000000
436551409	0.852046	0	1.069066	1.069066	1	2.000000	-2.000000
436552450	1.213925	0	0.694893	0.694893	1	2.000000	-2.000000
436553495	0.793074	0	0.001953	0.001953	1	2.000000	-2.000000
436554487	0.567674	0	0.962160	0.962160	1	2.000000	-2.000000
436555530	0.818370	0	0.748347	0.748347	1	2.000000	-2.000000
436556575	1.309072	0	1.229426	1.229426	1	2.000000	-2.000000
436557651	0.714671	0	0.641440	0.641440	1	2.000000	-2.000000
436558721	0.711464	0	0.641440	0.641440	1	2.000000	-2.000000
436559840	0.679006	0	0.639626	0.639626	1	2.000000	-2.000000
436560876	0.777746	0	0.748347	0.748347	1	2.000000	-2.000000
436561911	1.225685	0	0.801800	0.801800	1	2.000000	-2.000000
436562908	0.992094	0	0.801800	0.801800	1	2.000000	-2.000000
436563947	0.921939	0	0.744765	0.744765	1	2.000000	-2.000000
436564947	0.607097	0	0.803578	0.803578	1	2.000000	-2.000000
436565981	0.960022	0	0.374173	0.374173	1	2.000000	-2.000000
