# laser 3 log-file
# log-file start-timestamp: 08.11.2011, 13:13
# Timebase	Jitter [MHz]	setpoint [MHz]	rel. Frequency [MHz]	dev. from setpoint [MHz]	in range? [1/0]	upper bound [MHz]	lower bound [MHz]
497432425	0.816851	0	0.909991	0.909991	1	2.000000	-2.000000
497433195	0.636994	0	-0.588818	-0.588818	1	2.000000	-2.000000
497433936	0.959773	0	-0.588818	-0.588818	1	2.000000	-2.000000
497434714	0.599119	0	-0.473177	-0.473177	1	2.000000	-2.000000
497435506	1.118463	0	-1.918773	-1.918773	1	2.000000	-2.000000
497436276	1.198249	0	-1.346614	-1.346614	1	2.000000	-2.000000
497437005	0.915544	0	-0.847961	-0.847961	1	2.000000	-2.000000
497437778	1.055285	0	-0.312555	-0.312555	1	2.000000	-2.000000
497438576	0.853437	0	-0.580258	-0.580258	1	2.000000	-2.000000
497439348	0.757064	0	1.186582	1.186582	1	2.000000	-2.000000
497440347	0.622677	0	0.704717	0.704717	1	2.000000	-2.000000
497441525	0.843264	0	-1.115664	-1.115664	1	2.000000	-2.000000
497443014	1.038688	0	-0.526717	-0.526717	1	2.000000	-2.000000
497443768	0.861280	0	0.695875	0.695875	1	2.000000	-2.000000
497444857	0.761883	0	1.829069	1.829069	1	2.000000	-2.000000
497445658	0.892522	0	-0.687339	-0.687339	1	2.000000	-2.000000
497446672	0.494715	0	-0.473177	-0.473177	1	2.000000	-2.000000
497447442	1.180847	0	-1.873511	-1.873511	1	2.000000	-2.000000
497448432	1.150619	0	-2.309923	-2.309923	0	2.000000	-2.000000
497449227	0.772957	0	-0.535289	-0.535289	1	2.000000	-2.000000
497449989	0.712469	0	1.659395	1.659395	1	2.000000	-2.000000
497450742	0.763155	0	1.543312	1.543312	1	2.000000	-2.000000
497452944	0.723552	0	1.757381	1.757381	1	2.000000	-2.000000
497453744	0.879287	0	1.168692	1.168692	1	2.000000	-2.000000
497454537	1.081582	0	1.222209	1.222209	1	2.000000	-2.000000
497455307	0.751010	0	1.231164	1.231164	1	2.000000	-2.000000
497456275	0.724087	0	1.008141	1.008141	1	2.000000	-2.000000
497457343	0.714611	0	0.160587	0.160587	1	2.000000	-2.000000
497458113	0.594576	0	1.757381	1.757381	1	2.000000	-2.000000
497459048	0.748334	0	1.391751	1.391751	1	2.000000	-2.000000
497459766	0.514413	0	0.749404	0.749404	1	2.000000	-2.000000
497460508	0.731740	0	0.481760	0.481760	1	2.000000	-2.000000
497461303	0.633385	0	1.186582	1.186582	1	2.000000	-2.000000
497462238	0.861815	0	2.515857	2.515857	0	2.000000	-2.000000
497462983	0.584663	0	0.437014	0.437014	1	2.000000	-2.000000
497463754	0.724940	0	0.008689	0.008689	1	2.000000	-2.000000
497464603	1.072418	0	0.276392	0.276392	1	2.000000	-2.000000
497465373	0.675147	0	0.383473	0.383473	1	2.000000	-2.000000
497466363	0.997997	0	-0.098392	-0.098392	1	2.000000	-2.000000
497467133	0.841474	0	0.107058	0.107058	1	2.000000	-2.000000
497467903	0.972084	0	-0.802933	-0.802933	1	2.000000	-2.000000
497468838	1.177358	0	0.544095	0.544095	1	2.000000	-2.000000
497469608	0.849689	0	0.490554	0.490554	1	2.000000	-2.000000
497470378	0.660156	0	-1.543989	-1.543989	1	2.000000	-2.000000
497471675	1.439171	0	-1.008583	-1.008583	1	2.000000	-2.000000
497472497	1.070812	0	-0.580258	-0.580258	1	2.000000	-2.000000
497473260	0.513454	0	0.437014	0.437014	1	2.000000	-2.000000
497474064	0.999919	0	-0.374702	-0.374702	1	2.000000	-2.000000
497474834	0.791330	0	0.222851	0.222851	1	2.000000	-2.000000
497475629	0.632989	0	0.660010	0.660010	1	2.000000	-2.000000
497476378	1.067600	0	-0.312555	-0.312555	1	2.000000	-2.000000
497477151	1.136132	0	-1.169204	-1.169204	1	2.000000	-2.000000
497477924	0.642628	0	-1.803398	-1.803398	1	2.000000	-2.000000
497479015	0.984612	0	-2.400638	-2.400638	0	2.000000	-2.000000
497479784	0.926788	0	0.704717	0.704717	1	2.000000	-2.000000
497480554	0.619601	0	1.249085	1.249085	1	2.000000	-2.000000
497481278	0.502856	0	0.017382	0.017382	1	2.000000	-2.000000
497482095	0.848083	0	-0.151933	-0.151933	1	2.000000	-2.000000
497482896	1.144413	0	0.713562	0.713562	1	2.000000	-2.000000
497483649	1.455552	0	0.606457	0.606457	1	2.000000	-2.000000
497484376	0.587340	0	1.936151	1.936151	1	2.000000	-2.000000
497485340	0.900750	0	0.767114	0.767114	1	2.000000	-2.000000
497486174	0.782228	0	-0.580258	-0.580258	1	2.000000	-2.000000
497486996	0.507676	0	-1.053665	-1.053665	1	2.000000	-2.000000
497487980	0.712246	0	0.124486	0.124486	1	2.000000	-2.000000
497488778	1.270519	0	1.025960	1.025960	1	2.000000	-2.000000
497489520	1.194765	0	0.535289	0.535289	1	2.000000	-2.000000
497490511	0.988895	0	0.544095	0.544095	1	2.000000	-2.000000
497491281	0.720121	0	1.507826	1.507826	1	2.000000	-2.000000
497492216	0.686775	0	2.087626	2.087626	0	2.000000	-2.000000
497492986	1.014059	0	0.544095	0.544095	1	2.000000	-2.000000
497493946	0.875389	0	-0.847961	-0.847961	1	2.000000	-2.000000
497494747	1.012988	0	-0.419636	-0.419636	1	2.000000	-2.000000
497495804	0.671252	0	-2.462328	-2.462328	0	2.000000	-2.000000
497496616	0.616788	0	1.882610	1.882610	1	2.000000	-2.000000
497497394	0.660691	0	1.400745	1.400745	1	2.000000	-2.000000
497498164	1.063619	0	1.927040	1.927040	1	2.000000	-2.000000
497498981	0.622814	0	-0.785903	-0.785903	1	2.000000	-2.000000
497501685	0.624956	0	-0.625246	-0.625246	1	2.000000	-2.000000
497502476	0.858979	0	-0.143275	-0.143275	1	2.000000	-2.000000
497503231	0.734738	0	-0.411037	-0.411037	1	2.000000	-2.000000
