# laser 2 log-file
# log-file start-timestamp: 08.11.2011, 10:45
# Timebase	Jitter [MHz]	setpoint [MHz]	rel. Frequency [MHz]	dev. from setpoint [MHz]	in range? [1/0]	upper bound [MHz]	lower bound [MHz]
488507320	0.817282	0	0.808241	0.808241	1	2.000000	-2.000000
488508050	0.880191	0	0.648303	0.648303	1	2.000000	-2.000000
488508821	1.069217	0	2.771649	2.771649	0	2.000000	-2.000000
488509594	1.000677	0	1.607929	1.607929	1	2.000000	-2.000000
488510405	0.895118	0	2.460930	2.460930	0	2.000000	-2.000000
488511195	0.873793	0	2.407618	2.407618	0	2.000000	-2.000000
488511995	0.567779	0	2.087742	2.087742	0	2.000000	-2.000000
488512765	1.223790	0	2.025436	2.025436	0	2.000000	-2.000000
488513544	0.931371	0	1.821180	1.821180	1	2.000000	-2.000000
488514322	0.358794	0	1.661242	1.661242	1	2.000000	-2.000000
488515089	0.851402	0	2.514243	2.514243	0	2.000000	-2.000000
488515875	0.782096	0	1.714554	1.714554	1	2.000000	-2.000000
488517660	0.578975	0	1.447991	1.447991	1	2.000000	-2.000000
488518388	0.737685	0	1.385825	1.385825	1	2.000000	-2.000000
488519145	0.408907	0	1.341366	1.341366	1	2.000000	-2.000000
488519915	0.802354	0	1.874492	1.874492	1	2.000000	-2.000000
488520795	0.376838	0	0.906116	0.906116	1	2.000000	-2.000000
488521847	0.735180	0	2.940744	2.940744	0	2.000000	-2.000000
488522666	0.486638	0	3.251358	3.251358	0	2.000000	-2.000000
488523436	0.727717	0	2.834119	2.834119	0	2.000000	-2.000000
488524206	0.734114	0	3.260619	3.260619	0	2.000000	-2.000000
488524976	0.623757	0	4.273558	4.273558	0	2.000000	-2.000000
488525808	0.375321	0	3.527182	3.527182	0	2.000000	-2.000000
488526736	0.541005	0	3.677765	3.677765	0	2.000000	-2.000000
488527536	0.771433	0	2.940744	2.940744	0	2.000000	-2.000000
488528276	0.644549	0	2.407618	2.407618	0	2.000000	-2.000000
488529149	0.475444	0	2.398542	2.398542	0	2.000000	-2.000000
488529890	1.196867	0	2.834119	2.834119	0	2.000000	-2.000000
488531489	0.721852	0	1.021491	1.021491	1	2.000000	-2.000000
488532237	0.382701	0	0.746213	0.746213	1	2.000000	-2.000000
488533019	0.608697	0	0.959417	0.959417	1	2.000000	-2.000000
488533803	0.719187	0	2.354305	2.354305	0	2.000000	-2.000000
488534547	0.812839	0	1.545727	1.545727	1	2.000000	-2.000000
488535285	0.784228	0	2.407618	2.407618	0	2.000000	-2.000000
488536472	0.927436	0	1.545727	1.545727	1	2.000000	-2.000000
488537517	0.833276	0	2.407618	2.407618	0	2.000000	-2.000000
488538507	0.989583	0	0.577634	0.577634	1	2.000000	-2.000000
488539498	0.724518	0	0.488365	0.488365	1	2.000000	-2.000000
488540545	0.813372	0	1.225922	1.225922	1	2.000000	-2.000000
488541480	0.406242	0	2.407618	2.407618	0	2.000000	-2.000000
488542501	0.915377	0	2.620868	2.620868	0	2.000000	-2.000000
488543556	1.063887	0	2.558445	2.558445	0	2.000000	-2.000000
488544576	0.918576	0	2.834119	2.834119	0	2.000000	-2.000000
488545659	0.493567	0	1.599028	1.599028	1	2.000000	-2.000000
488546650	0.697709	0	0.692912	0.692912	1	2.000000	-2.000000
488548080	0.804311	0	1.066019	1.066019	1	2.000000	-2.000000
488549070	0.648672	0	-0.586310	-0.586310	1	2.000000	-2.000000
488550005	0.895989	0	-0.959417	-0.959417	1	2.000000	-2.000000
488551820	0.814971	0	1.918834	1.918834	1	2.000000	-2.000000
488552810	0.826165	0	-0.533009	-0.533009	1	2.000000	-2.000000
488553816	0.423209	0	0.852815	0.852815	1	2.000000	-2.000000
488554790	1.042566	0	0.426408	0.426408	1	2.000000	-2.000000
488555806	0.988415	0	0.488365	0.488365	1	2.000000	-2.000000
488556826	1.033280	0	1.163817	1.163817	1	2.000000	-2.000000
488557927	1.069750	0	0.692912	0.692912	1	2.000000	-2.000000
488559001	0.908050	0	0.950659	0.950659	1	2.000000	-2.000000
488560072	0.775529	0	1.758931	1.758931	1	2.000000	-2.000000
488561117	0.762037	0	0.790792	0.790792	1	2.000000	-2.000000
488563262	0.933300	0	0.000000	0.000000	1	2.000000	-2.000000
488564365	1.102797	0	1.119320	1.119320	1	2.000000	-2.000000
488565407	0.694511	0	1.439125	1.439125	1	2.000000	-2.000000
488566342	0.985534	0	-0.319806	-0.319806	1	2.000000	-2.000000
488567277	0.347065	0	1.447991	1.447991	1	2.000000	-2.000000
488568313	0.998545	0	-0.098073	-0.098073	1	2.000000	-2.000000
488569257	0.870404	0	0.213204	0.213204	1	2.000000	-2.000000
488570247	1.095573	0	-0.951075	-0.951075	1	2.000000	-2.000000
488571292	0.816570	0	-0.746213	-0.746213	1	2.000000	-2.000000
488572278	0.976473	0	-0.959417	-0.959417	1	2.000000	-2.000000
488573272	0.676241	0	-1.713806	-1.713806	1	2.000000	-2.000000
488574184	0.898458	0	-0.807888	-0.807888	1	2.000000	-2.000000
488575419	0.852443	0	-0.603147	-0.603147	1	2.000000	-2.000000
488577218	0.798991	0	-0.824624	-0.824624	1	2.000000	-2.000000
488578279	0.554742	0	-1.287492	-1.287492	1	2.000000	-2.000000
488580360	0.841787	0	-0.922813	-0.922813	1	2.000000	-2.000000
488581249	0.455524	0	-1.029369	-1.029369	1	2.000000	-2.000000
488581973	0.676094	0	-1.508868	-1.508868	1	2.000000	-2.000000
488582744	1.194758	0	-0.718092	-0.718092	1	2.000000	-2.000000
488583531	1.142806	0	-2.947365	-2.947365	0	2.000000	-2.000000
488584303	0.589784	0	-3.746531	-3.746531	0	2.000000	-2.000000
488585062	0.545683	0	-2.140121	-2.140121	0	2.000000	-2.000000
488585924	0.897196	0	-2.308033	-2.308033	0	2.000000	-2.000000
488586663	0.923302	0	-2.574422	-2.574422	0	2.000000	-2.000000
488587477	0.627611	0	-1.828534	-1.828534	1	2.000000	-2.000000
488588344	0.811952	0	-2.201478	-2.201478	0	2.000000	-2.000000
488589205	0.997358	0	-2.574422	-2.574422	0	2.000000	-2.000000
488589952	0.851910	0	-1.775256	-1.775256	1	2.000000	-2.000000
488590756	0.633866	0	-1.463817	-1.463817	1	2.000000	-2.000000
488591540	0.666504	0	-1.135924	-1.135924	1	2.000000	-2.000000
488593457	0.608964	0	-1.295757	-1.295757	1	2.000000	-2.000000
488594180	0.883151	0	-0.611560	-0.611560	1	2.000000	-2.000000
488595005	0.524252	0	-0.549869	-0.549869	1	2.000000	-2.000000
488595780	0.898262	0	-0.123648	-0.123648	1	2.000000	-2.000000
