# laser 3 log-file
# log-file start-timestamp: 07.11.2011, 20:18
# Timebase	Jitter [MHz]	setpoint [MHz]	rel. Frequency [MHz]	dev. from setpoint [MHz]	in range? [1/0]	upper bound [MHz]	lower bound [MHz]
436512653	0.227983	0	0.205553	0.205553	1	2.000000	-2.000000
436514222	0.175459	0	-0.106987	-0.106987	1	2.000000	-2.000000
436515215	0.345035	0	0.106987	0.106987	1	2.000000	-2.000000
436516257	0.127315	0	0.427950	0.427950	1	2.000000	-2.000000
436518416	0.184594	0	0.450539	0.450539	1	2.000000	-2.000000
436519449	0.513117	0	0.183012	0.183012	1	2.000000	-2.000000
436520504	0.233819	0	0.129507	0.129507	1	2.000000	-2.000000
436521592	0.278228	0	0.129507	0.129507	1	2.000000	-2.000000
436522595	0.476733	0	-0.191526	-0.191526	1	2.000000	-2.000000
436523648	0.135904	0	-0.084515	-0.084515	1	2.000000	-2.000000
436524971	0.255221	0	-0.191526	-0.191526	1	2.000000	-2.000000
436527864	0.177638	0	0.290023	0.290023	1	2.000000	-2.000000
436529129	0.090939	0	0.481444	0.481444	1	2.000000	-2.000000
436530286	0.123598	0	0.129507	0.129507	1	2.000000	-2.000000
436531547	0.218254	0	0.374456	0.374456	1	2.000000	-2.000000
436532759	0.167472	0	0.290023	0.290023	1	2.000000	-2.000000
436533804	0.172823	0	0.076001	0.076001	1	2.000000	-2.000000
436534849	0.508190	0	0.748912	0.748912	1	2.000000	-2.000000
436535896	0.257361	0	0.718067	0.718067	1	2.000000	-2.000000
436536939	0.172785	0	0.160481	0.160481	1	2.000000	-2.000000
436537959	0.182989	0	0.183012	0.183012	1	2.000000	-2.000000
436538988	0.382480	0	0.000000	0.000000	1	2.000000	-2.000000
436540055	0.107011	0	0.771572	0.771572	1	2.000000	-2.000000
436541744	0.166402	0	0.557550	0.557550	1	2.000000	-2.000000
436542769	0.127315	0	0.267469	0.267469	1	2.000000	-2.000000
436543774	0.180848	0	0.129507	0.129507	1	2.000000	-2.000000
436545663	0.158341	0	0.160481	0.160481	1	2.000000	-2.000000
436547002	0.234251	0	0.084478	0.084478	1	2.000000	-2.000000
436548007	0.198462	0	0.000000	0.000000	1	2.000000	-2.000000
436549040	0.437483	0	-0.289896	-0.289896	1	2.000000	-2.000000
436550049	0.257896	0	-0.138020	-0.138020	1	2.000000	-2.000000
436551076	0.501661	0	-0.075968	-0.075968	1	2.000000	-2.000000
436552120	0.172785	0	-0.106987	-0.106987	1	2.000000	-2.000000
436553126	0.229438	0	-0.075968	-0.075968	1	2.000000	-2.000000
436554155	0.170110	0	-0.267469	-0.267469	1	2.000000	-2.000000
436555200	0.326240	0	-0.343378	-0.343378	1	2.000000	-2.000000
436556209	0.163691	0	-0.160481	-0.160481	1	2.000000	-2.000000
436557305	0.184553	0	0.374456	0.374456	1	2.000000	-2.000000
