# laser 3 log-file
# log-file start-timestamp: 09.11.2011, 09:55
# Timebase	Jitter [MHz]	setpoint [MHz]	rel. Frequency [MHz]	dev. from setpoint [MHz]	in range? [1/0]	upper bound [MHz]	lower bound [MHz]
571911872	0.881933	0	-0.698919	-0.698919	1	3.000000	-2.000000
571912538	0.597962	0	-0.170671	-0.170671	1	3.000000	-2.000000
571913357	0.472712	0	-0.485505	-0.485505	1	3.000000	-2.000000
571914292	0.913945	0	0.261444	0.261444	1	3.000000	-3.000000
571915227	0.587422	0	-1.605928	-1.605928	1	3.000000	-3.000000
571915887	0.634907	0	0.634918	0.634918	1	3.000000	-3.000000
571916603	0.411266	0	1.216217	1.216217	1	3.000000	-3.000000
571917648	0.680257	0	-0.538859	-0.538859	1	3.000000	-3.000000
571918419	0.642769	0	-0.544064	-0.544064	1	3.000000	-3.000000
571919497	0.616367	0	-0.373556	-0.373556	1	3.000000	-3.000000
571920458	0.618901	0	-0.432152	-0.432152	1	3.000000	-3.000000
571921238	0.622771	0	-1.440859	-1.440859	1	3.000000	-3.000000
571921994	0.600891	0	-2.241336	-2.241336	1	3.000000	-3.000000
571922725	0.680109	0	-2.464370	-2.464370	1	3.000000	-3.000000
571923479	0.925150	0	-1.605928	-1.605928	1	3.000000	-3.000000
571924249	0.499498	0	-2.668257	-2.668257	1	3.000000	-3.000000
571925213	0.718295	0	-3.308639	-3.308639	0	3.000000	-3.000000
571925624	0.449770	0	-0.005324	-0.005324	1	3.000000	-3.000000
571926339	0.355790	0	0.522773	0.522773	1	3.000000	-3.000000
571926834	0.491278	0	0.469432	0.469432	1	3.000000	-3.000000
571927989	1.099136	0	0.570668	0.570668	1	3.000000	-3.000000
571928884	0.701672	0	1.258365	1.258365	1	3.000000	-3.000000
571929364	0.928810	0	-0.554467	-0.554467	1	3.000000	-3.000000
571930079	0.457573	0	-1.669201	-1.669201	1	3.000000	-3.000000
571931047	0.355712	0	-2.362493	-2.362493	1	3.000000	-3.000000
571931472	0.367978	0	-1.402550	-1.402550	1	3.000000	-3.000000
571932470	0.502904	0	-0.762587	-0.762587	1	3.000000	-3.000000
571933379	0.507814	0	-1.344191	-1.344191	1	3.000000	-3.000000
571934204	0.405310	0	-0.229285	-0.229285	1	3.000000	-3.000000
571935195	0.705559	0	0.677329	0.677329	1	3.000000	-3.000000
571935690	0.547168	0	1.050640	1.050640	1	3.000000	-3.000000
571936460	0.810976	0	0.405268	0.405268	1	3.000000	-3.000000
571937230	0.735263	0	0.405268	0.405268	1	3.000000	-3.000000
571938440	0.917946	0	0.986237	0.986237	1	3.000000	-3.000000
571939485	0.509192	0	0.618542	0.618542	1	3.000000	-3.000000
571940238	0.513458	0	0.405268	0.405268	1	3.000000	-3.000000
571941135	0.559312	0	1.471639	1.471639	1	3.000000	-3.000000
571942133	0.642629	0	0.090696	0.090696	1	3.000000	-3.000000
571942626	0.535318	0	2.431374	2.431374	1	3.000000	-3.000000
571943906	0.671814	0	0.938453	0.938453	1	3.000000	-3.000000
571944930	0.528272	0	1.625920	1.625920	1	3.000000	-3.000000
571945654	0.576374	0	1.844869	1.844869	1	3.000000	-3.000000
571946600	0.934471	0	3.011901	3.011901	0	3.000000	-3.000000
571947350	0.564111	0	-0.714422	-0.714422	1	3.000000	-3.000000
571948120	0.714469	0	-1.354245	-1.354245	1	3.000000	-3.000000
571948849	0.604633	0	-1.140971	-1.140971	1	3.000000	-3.000000
571949345	0.422283	0	-2.154024	-2.154024	1	3.000000	-3.000000
571950351	0.403088	0	-1.620838	-1.620838	1	3.000000	-3.000000
571951273	0.418642	0	-0.015964	-0.015964	1	3.000000	-3.000000
571951970	0.740918	0	-1.984293	-1.984293	1	3.000000	-3.000000
571952686	0.421309	0	-1.295889	-1.295889	1	3.000000	-3.000000
571954421	0.708913	0	-1.504217	-1.504217	1	3.000000	-3.000000
