# laser 3 log-file
# log-file start-timestamp: 08.11.2011, 15:46
# Timebase	Jitter [MHz]	setpoint [MHz]	rel. Frequency [MHz]	dev. from setpoint [MHz]	in range? [1/0]	upper bound [MHz]	lower bound [MHz]
506609785	0.832545	0	-0.058126	-0.058126	1	2.000000	-2.000000
506611853	0.638995	0	0.685139	0.685139	1	2.000000	-2.000000
506612622	0.588154	0	-0.117618	-0.117618	1	2.000000	-2.000000
506613447	0.753522	0	-3.061062	-3.061062	0	2.000000	-2.000000
506614172	0.633782	0	-0.498309	-0.498309	1	2.000000	-2.000000
506614935	0.831303	0	-0.123607	-0.123607	1	2.000000	-2.000000
506615977	0.569547	0	0.786384	0.786384	1	2.000000	-2.000000
506616771	0.588411	0	-1.039790	-1.039790	1	2.000000	-2.000000
506617574	0.324385	0	-0.444781	-0.444781	1	2.000000	-2.000000
506618299	0.526840	0	-1.628736	-1.628736	1	2.000000	-2.000000
506619060	0.514525	0	0.245185	0.245185	1	2.000000	-2.000000
506619829	1.098413	0	-1.675945	-1.675945	1	2.000000	-2.000000
506620654	0.588005	0	-0.189146	-0.189146	1	2.000000	-2.000000
506621424	0.872176	0	0.298726	0.298726	1	2.000000	-2.000000
506622194	0.469551	0	0.405807	0.405807	1	2.000000	-2.000000
506622944	0.445993	0	1.101835	1.101835	1	2.000000	-2.000000
506623708	0.653731	0	0.459347	0.459347	1	2.000000	-2.000000
506624478	0.533800	0	0.298726	0.298726	1	2.000000	-2.000000
506625221	0.575435	0	0.946970	0.946970	1	2.000000	-2.000000
506625989	0.531123	0	-0.397302	-0.397302	1	2.000000	-2.000000
506626759	0.684099	0	1.642846	1.642846	1	2.000000	-2.000000
506627529	0.835403	0	0.845691	0.845691	1	2.000000	-2.000000
506628253	0.764560	0	2.440350	2.440350	0	2.000000	-2.000000
506629050	0.568477	0	1.535788	1.535788	1	2.000000	-2.000000
506629786	0.814531	0	0.096451	0.096451	1	2.000000	-2.000000
506630554	0.363996	0	1.054028	1.054028	1	2.000000	-2.000000
506631604	0.669500	0	-2.365339	-2.365339	0	2.000000	-2.000000
506632369	0.268121	0	-0.599272	-0.599272	1	2.000000	-2.000000
506633139	0.520301	0	-1.194185	-1.194185	1	2.000000	-2.000000
506633879	0.680203	0	1.059759	1.059759	1	2.000000	-2.000000
