# Linearisation-Deviation-File "iterative_03_02"
# Properties:
# Timebase: 01.08.2011 17:20:14
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13062
# Scan Offset [MHz]: -2449
# Cycles: 44
# FSR: 8164
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 13.954476
# FSR-Error [MHz]: -4.577395
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-87.370755	0.000000	0.000000
202.453246	8.260999	8.260999
499.340477	1.197768	9.458768
799.938938	-2.513461	6.945307
1095.861179	2.162759	9.108066
1395.055220	-1.109041	7.999025
1691.236457	1.903764	9.902788
1988.883347	0.438110	10.340898
2288.567972	-1.599625	8.741273
2585.587848	1.065124	9.806397
2884.241372	-0.568524	9.237873
3186.211726	-3.885354	5.352519
3483.166037	1.130689	6.483208
3783.430832	-2.179794	4.303413
4082.257365	-0.741533	3.561880
4378.350287	1.992077	5.553958
4676.670653	-0.235366	5.318592
4975.102796	-0.347143	4.971449
5270.280162	2.907634	7.879083
5572.544676	-4.179514	3.699569
5867.277654	3.352022	7.051591
6165.330237	0.032417	7.084008
6464.093304	-0.678067	6.405941
6761.279079	0.899226	7.305166
7057.565272	1.798807	9.103973
7353.861407	1.788864	10.892838
7653.016201	-1.069793	9.823044
7960.993818	-9.892618	-0.069573
8262.070883	-2.992065	-3.061638
