# Linearisation-Deviation-File "iterative_03_03"
# Properties:
# Timebase: 01.08.2011 17:21:38
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13055
# Scan Offset [MHz]: -2448
# Cycles: 44
# FSR: 8159
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 10.960936
# FSR-Error [MHz]: 2.333828
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-87.348254	0.000000	0.000000
209.585530	1.151216	1.151216
508.348399	-0.677870	0.473347
807.594486	-1.161087	-0.687740
1105.724060	-0.044574	-0.732314
1400.520794	3.288266	2.555952
1699.987514	-1.381720	1.174232
2002.338186	-4.265672	-3.091440
2297.278406	3.144780	0.053340
2591.250336	4.113070	4.166410
2888.866363	0.468973	4.635383
3185.800068	1.151295	5.786678
3485.591775	-1.706707	4.079971
3782.333666	1.343109	5.423080
4077.972250	2.446415	7.869496
4381.411638	-5.354388	2.515108
4678.494002	1.002636	3.517744
4977.129538	-0.550535	2.967208
5276.356218	-1.141680	1.825528
5575.860705	-1.419488	0.406041
5877.218893	-3.273188	-2.867147
6173.472582	1.831311	-1.035836
6471.327088	0.230494	-0.805342
6768.052831	1.359257	0.553915
7065.691846	0.445986	0.999900
7362.728585	1.048261	2.048161
7659.338416	1.475169	3.523330
7954.870728	2.552688	6.076018
8258.010108	-5.054380	1.021638
