# Linearisation-Deviation-File "iterative_03_01"
# Properties:
# Timebase: 01.08.2011 17:18:50
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 12800
# Scan Offset [MHz]: -2400
# Cycles: 45
# FSR: 8000
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 231.306761
# FSR-Error [MHz]: 164.074078
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-83.370180	0.000000	0.000000
189.046225	25.668596	25.668596
452.385463	34.745762	60.414358
703.029515	47.440947	107.855305
959.351187	41.763328	149.618633
1220.084148	37.352040	186.970673
1492.764113	25.405035	212.375708
1775.023051	15.826062	228.201770
2070.003059	3.104992	231.306761
2374.118216	-6.030157	225.276605
2683.699618	-11.496403	213.780202
2988.391742	-6.607124	207.173078
3293.847059	-7.370317	199.802761
3594.727483	-2.795423	197.007338
3892.292618	0.519865	197.527203
4193.528613	-3.150995	194.376208
4492.319930	-0.706317	193.669890
4795.025853	-4.620923	189.048967
5100.146507	-7.035654	182.013313
5398.860458	-0.628951	181.384362
5694.851515	2.093943	183.478306
5988.154409	4.782106	188.260412
6277.555682	8.683727	196.944139
6569.809890	5.830791	202.774930
6868.097089	-0.202199	202.572731
7177.360738	-11.178649	191.394082
7485.872202	-10.426464	180.967619
7794.391023	-10.433822	170.533797
8090.465962	2.010061	172.543858
