# Linearisation-Deviation-File "iterative_03_05"
# good_values!!!
# Properties:
# Timebase: 01.08.2011 17:24:23
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13057
# Scan Offset [MHz]: -2448
# Cycles: 44
# FSR: 8161
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 8.560719
# FSR-Error [MHz]: 0.075346
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-84.485430	0.000000	0.000000
206.742927	6.856643	6.856643
507.356417	-2.528490	4.328153
802.051397	3.390020	7.718173
1099.570966	0.565431	8.283604
1400.523368	-2.867402	5.416202
1699.767934	-1.159566	4.256636
1996.003953	1.848980	6.105616
2295.756783	-1.667830	4.437786
2591.167892	2.673892	7.111678
2889.333184	-0.080293	7.031385
3185.888851	1.529334	8.560719
3484.655237	-0.681387	7.879332
3783.861374	-1.121137	6.758196
4082.885648	-0.939274	5.818922
4379.457303	1.513345	7.332267
4680.140958	-2.598655	4.733612
4981.905406	-3.679447	1.054164
5273.780184	6.210221	7.264385
5573.580284	-1.715100	5.549285
5875.679921	-4.014636	1.534649
6173.743547	0.021374	1.556023
6467.868790	3.959756	5.515779
6767.032475	-1.078684	4.437095
7063.795362	1.322113	5.759208
7362.203691	-0.323329	5.435879
7661.639815	-1.351124	4.084755
7959.566846	0.157969	4.242724
8260.910524	-3.258678	0.984046
