# Linearisation-Deviation-Summary-File "iterative_02"
# Laser: Blau

# Iteration	Max. deviation [MHz]	FSR [MHz]	FSR_error [MHz]	Timebase
1	183.822449	8160	-1.451928	01.08.2011 17:02:32
2	17.534610	8160	0.226910	01.08.2011 17:03:57
3	7.626466	8160	1.432712	01.08.2011 17:05:19
4	8.820201	8160	-0.614517	01.08.2011 17:06:44
5	10.454222	8160	4.150873	01.08.2011 17:08:04
6	15.694583	8164	-3.094290	01.08.2011 17:09:26
7	15.095560	8161	0.826897	01.08.2011 17:10:47
8	10.187460	8161	3.010034	01.08.2011 17:12:14
9	11.794928	8164	-4.342500	01.08.2011 17:13:36
10	11.590661	8160	1.679277	01.08.2011 17:14:58
