# Linearisation-Deviation-File "iterative_02_01"
# Properties:
# Timebase: 01.08.2011 17:02:32
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13056
# Scan Offset [MHz]: -2448
# Cycles: 45
# FSR: 8160
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 183.822449
# FSR-Error [MHz]: -1.451928
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-85.390560	0.000000	0.000000
194.274938	18.419502	18.419502
463.104777	29.255161	47.674663
727.454441	33.735336	81.409999
986.633740	38.905701	120.315700
1249.772711	34.946029	155.261729
1527.105283	20.752429	176.014158
1820.340254	4.850029	180.864186
2115.466991	2.958262	183.822449
2425.389352	-11.837360	171.985088
2740.155398	-16.681047	155.304042
3053.003277	-14.762879	140.541163
3361.324709	-10.236431	130.304731
3666.731281	-7.321572	122.983159
3972.023275	-7.206994	115.776165
4277.851363	-7.743088	108.033077
4582.039408	-6.103045	101.930032
4883.295738	-3.171330	98.758702
5191.567958	-10.187220	88.571482
5498.691615	-9.038657	79.532825
5801.514263	-4.737648	74.795177
6105.193427	-5.594164	69.201013
6397.561134	5.717294	74.918307
6699.897257	-4.251123	70.667183
7006.782047	-8.799790	61.867393
7325.073294	-20.206247	41.661146
7641.075168	-17.916875	23.744272
7956.589863	-17.429695	6.314577
8257.847925	-3.173062	3.141515
