# Linearisation-Deviation-File "iterative_02_06"
# Properties:
# Timebase: 01.08.2011 17:09:26
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13062
# Scan Offset [MHz]: -2449
# Cycles: 44
# FSR: 8164
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 15.694583
# FSR-Error [MHz]: -3.094290
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-84.728900	0.000000	0.000000
211.300828	2.055271	2.055271
510.702684	-1.316856	0.738415
807.729924	1.057760	1.796175
1105.971222	-0.156298	1.639878
1404.526100	-0.469878	1.170000
1704.066560	-1.455461	-0.285461
1999.008496	3.143064	2.857603
2294.598168	2.495328	5.352932
2593.982613	-1.299445	4.053487
2893.067768	-1.000155	3.053332
3192.241757	-1.088990	1.964343
3488.740759	1.585998	3.550340
3785.267713	1.558047	5.108387
4083.702982	-0.350270	4.758117
4380.282741	1.505242	6.263359
4675.900273	2.467468	8.730827
4971.038081	2.947191	11.678018
5269.902776	-0.779695	10.898324
5570.787698	-2.799922	8.098402
5870.865319	-1.992621	6.105781
6166.069300	2.881019	8.986800
6464.782448	-0.628148	8.358652
6771.639340	-8.771892	-0.413240
7068.703069	1.021271	0.608030
7366.138876	0.649193	1.257223
7664.758674	-0.534797	0.722426
7963.087066	-0.243393	0.479033
8265.667664	-4.495598	-4.016564
