# Linearisation-Deviation-File "iterative_02_08"
# Properties:
# Timebase: 01.08.2011 17:12:14
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13057
# Scan Offset [MHz]: -2448
# Cycles: 44
# FSR: 8161
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 10.187460
# FSR-Error [MHz]: 3.010034
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-84.517520	0.000000	0.000000
206.561276	7.006204	7.006204
508.498191	-3.851915	3.154289
803.031499	3.551692	6.705981
1103.971160	-2.854661	3.851320
1402.310924	-0.254764	3.596556
1698.886578	1.509346	5.105902
1998.924656	-1.953078	3.152824
2296.683444	0.326212	3.479036
2593.127949	1.640495	5.119531
2891.190219	0.022730	5.142261
3186.463308	2.811911	7.954172
3485.880507	-1.332199	6.621973
3783.045143	0.920364	7.542338
4080.686377	0.443766	7.986103
4378.327307	0.444070	8.430173
4674.986683	1.425623	9.855797
4975.220478	-2.148794	7.707003
5274.638529	-1.333051	6.373951
5568.910020	3.813508	10.187460
5870.417889	-3.422868	6.764591
6167.245992	1.256896	8.021488
6467.563293	-2.232301	5.789187
6764.546557	1.101736	6.890923
7063.632094	-1.000536	5.890386
7361.871897	-0.154803	5.735583
7661.067054	-1.110157	4.625426
7955.713679	3.438375	8.063801
8258.248505	-4.449826	3.613975
