# Linearisation-Deviation-File "delin-check_01_01"
# Properties:
# Timebase: 01.08.2011 17:26:55
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13057
# Scan Offset [MHz]: -2448
# Cycles: 44
# FSR: 8161
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 11.215245
# FSR-Error [MHz]: -0.102334
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-84.212465	0.000000	0.000000
208.609688	5.262847	5.262847
509.434540	-2.739852	2.522995
804.309215	3.210325	5.733320
1100.180926	2.213288	7.946608
1397.746109	0.519817	8.466425
1702.239339	-6.408230	2.058196
1996.296831	4.027508	6.085704
2293.725726	0.656104	6.741808
2593.373225	-1.562499	5.179310
2888.789850	2.668375	7.847685
3183.931832	2.943017	10.790702
3483.098892	-1.082059	9.708643
3782.455256	-1.271364	8.437279
4077.762290	2.777966	11.215245
4377.431400	-1.584110	9.631134
4679.324296	-3.807896	5.823239
4976.420235	0.989061	6.812300
5277.283811	-2.778576	4.033724
5571.999524	3.369287	7.403011
5868.667332	1.417192	8.820203
6167.443000	-0.690668	8.129534
6469.268587	-3.740587	4.388947
6765.174340	2.179248	6.568195
7064.430355	-1.171015	5.397179
7364.385726	-1.870371	3.526808
7663.798786	-1.328059	2.198749
7959.976036	1.907749	4.106498
8262.112024	-4.050987	0.055511
