# Linearisation-Deviation-File "delin-check_01-1_07"
# Properties:
# Timebase: 01.08.2011 18:50:20
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13057
# Scan Offset [MHz]: -2448
# Cycles: 44
# FSR: 8161
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 54.175544
# FSR-Error [MHz]: -2.545341
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-93.711957	0.000000	0.000000
189.967712	14.405331	14.405331
490.310870	-2.258158	12.147173
784.787720	3.608150	15.755323
1084.362139	-1.489419	14.265904
1391.357232	-8.910093	5.355811
1690.440100	-0.997868	4.357943
1989.379056	-0.853956	3.503987
2288.201093	-0.737037	2.766950
2588.543037	-2.256944	0.510006
2889.472420	-2.844383	-2.334377
3194.393810	-6.836390	-9.170767
3498.329606	-5.850796	-15.021563
3801.916578	-5.501972	-20.523535
4104.457705	-4.456127	-24.979662
4403.201750	-0.659045	-25.638707
4703.376814	-2.090064	-27.728771
5008.658040	-7.196226	-34.924997
5307.481572	-0.738532	-35.663529
5608.323264	-2.756692	-38.420221
5904.131691	2.276573	-36.143648
6195.463901	6.752790	-29.390858
6482.558939	10.989962	-18.400896
6776.770261	3.873678	-14.527218
7068.116256	6.739005	-7.788213
7365.677879	0.523377	-7.264836
7661.012728	2.750151	-4.514685
7954.853887	4.243841	-0.270844
8249.389503	3.549384	3.278540
