# Linearisation-Deviation-File "delin-check_01-1_16"
# Properties:
# Timebase: 01.08.2011 19:38:45
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13057
# Scan Offset [MHz]: -2448
# Cycles: 44
# FSR: 8161
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 79.792508
# FSR-Error [MHz]: 2.229095
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-96.281784	0.000000	0.000000
186.481276	15.321940	15.321940
483.796486	0.769790	16.091730
779.438944	2.442543	18.534272
1081.057588	-3.533644	15.000628
1388.020155	-8.877567	6.123061
1692.816644	-6.711489	-0.588428
1992.585652	-1.684008	-2.272436
2287.824378	2.846274	0.573838
2587.099896	-1.190518	-0.616680
2887.576474	-2.391578	-3.008258
3192.363827	-6.702353	-9.710612
3500.075136	-9.626309	-19.336920
3806.780276	-8.620140	-27.957060
4108.621707	-3.756431	-31.713492
4409.605857	-2.899149	-34.612641
4719.493708	-11.802852	-46.415493
5023.173339	-5.594631	-52.010123
5327.886510	-6.628171	-58.638294
5628.591452	-2.619942	-61.258236
5919.981842	6.694609	-54.563627
6204.880949	13.185894	-41.377733
6489.338112	13.627836	-27.749897
6776.203283	11.219830	-16.530067
7066.407637	7.880646	-8.649421
7363.317238	1.175398	-7.474023
7661.240183	0.162055	-7.311968
7951.074547	8.250636	0.938669
8240.196879	8.962668	9.901337
