# Description:
# L1 - blau
# L2 - TA
#L3 - DL

# Properties:
# Laser 1 scanned in dimension 1, started @ 740.455803 THz
# Laser 2 fix @ 0.000000 THz
# Laser 3 fix @ 0.000000 THz


# laser 1 frequency [THz]	laser 2 frequency [THz]	laser 3 frequency [THz]	countrate
-0.000500	0.000000	0.000000	13
-0.000490	0.000000	0.000000	2
-0.000480	0.000000	0.000000	0
-0.000470	0.000000	0.000000	3
-0.000460	0.000000	0.000000	4
-0.000450	0.000000	0.000000	0
-0.000440	0.000000	0.000000	3
-0.000430	0.000000	0.000000	0
-0.000420	0.000000	0.000000	3
-0.000410	0.000000	0.000000	4
-0.000400	0.000000	0.000000	3
-0.000390	0.000000	0.000000	2
-0.000380	0.000000	0.000000	2
-0.000370	0.000000	0.000000	1
-0.000360	0.000000	0.000000	1
-0.000350	0.000000	0.000000	1
-0.000340	0.000000	0.000000	1
-0.000330	0.000000	0.000000	4
-0.000320	0.000000	0.000000	7
-0.000310	0.000000	0.000000	3
-0.000300	0.000000	0.000000	7
-0.000290	0.000000	0.000000	1
-0.000280	0.000000	0.000000	4
-0.000270	0.000000	0.000000	2
-0.000260	0.000000	0.000000	0
-0.000250	0.000000	0.000000	6
-0.000240	0.000000	0.000000	2
-0.000230	0.000000	0.000000	2
-0.000220	0.000000	0.000000	1
-0.000210	0.000000	0.000000	1
-0.000200	0.000000	0.000000	5
-0.000190	0.000000	0.000000	6
-0.000180	0.000000	0.000000	2
-0.000170	0.000000	0.000000	1
-0.000160	0.000000	0.000000	1
-0.000150	0.000000	0.000000	2
-0.000140	0.000000	0.000000	5
-0.000130	0.000000	0.000000	5
-0.000120	0.000000	0.000000	5
-0.000110	0.000000	0.000000	2
-0.000100	0.000000	0.000000	4
-0.000090	0.000000	0.000000	4
-0.000080	0.000000	0.000000	7
-0.000070	0.000000	0.000000	11
-0.000060	0.000000	0.000000	9
-0.000050	0.000000	0.000000	17
-0.000040	0.000000	0.000000	18
-0.000030	0.000000	0.000000	24
-0.000020	0.000000	0.000000	27
-0.000010	0.000000	0.000000	40
0.000000	0.000000	0.000000	37
0.000010	0.000000	0.000000	46
0.000020	0.000000	0.000000	56
0.000030	0.000000	0.000000	99
0.000040	0.000000	0.000000	86
0.000050	0.000000	0.000000	107
0.000060	0.000000	0.000000	131
0.000070	0.000000	0.000000	141
0.000080	0.000000	0.000000	172
0.000090	0.000000	0.000000	172
0.000100	0.000000	0.000000	190
0.000110	0.000000	0.000000	161
0.000120	0.000000	0.000000	149
0.000130	0.000000	0.000000	135
0.000140	0.000000	0.000000	132
0.000150	0.000000	0.000000	116
0.000160	0.000000	0.000000	77
0.000170	0.000000	0.000000	68
0.000180	0.000000	0.000000	49
0.000190	0.000000	0.000000	36
0.000200	0.000000	0.000000	28
0.000210	0.000000	0.000000	24
0.000220	0.000000	0.000000	6
0.000230	0.000000	0.000000	15
0.000240	0.000000	0.000000	13
0.000250	0.000000	0.000000	3
0.000260	0.000000	0.000000	8
0.000270	0.000000	0.000000	7
0.000280	0.000000	0.000000	2
0.000290	0.000000	0.000000	4
0.000300	0.000000	0.000000	9
0.000310	0.000000	0.000000	6
0.000320	0.000000	0.000000	7
0.000330	0.000000	0.000000	4
0.000340	0.000000	0.000000	1
0.000350	0.000000	0.000000	3
0.000360	0.000000	0.000000	1
0.000370	0.000000	0.000000	4
0.000380	0.000000	0.000000	0
0.000390	0.000000	0.000000	4
0.000400	0.000000	0.000000	1
0.000410	0.000000	0.000000	2
0.000420	0.000000	0.000000	1
0.000430	0.000000	0.000000	4
0.000440	0.000000	0.000000	1
0.000450	0.000000	0.000000	4
0.000460	0.000000	0.000000	1
0.000470	0.000000	0.000000	2
0.000480	0.000000	0.000000	6
0.000490	0.000000	0.000000	1
0.000500	0.000000	0.000000	1
