# Description:
# L1 - blau
# L2 - TA
#L3 - DL

# Properties:
# Laser 3 scanned in dimension 1, started @ 388.624216 THz
# Laser 1 fix @ 740.455913 THz
# Laser 2 fix @ 0.000000 THz


# laser 1 frequency [THz]	laser 2 frequency [THz]	laser 3 frequency [THz]	countrate
0.000000	0.000000	-0.000200	9
0.000000	0.000000	-0.000198	9
0.000000	0.000000	-0.000196	14
0.000000	0.000000	-0.000194	6
0.000000	0.000000	-0.000192	20
0.000000	0.000000	-0.000190	9
0.000000	0.000000	-0.000188	10
0.000000	0.000000	-0.000186	18
0.000000	0.000000	-0.000184	15
0.000000	0.000000	-0.000182	8
0.000000	0.000000	-0.000180	18
0.000000	0.000000	-0.000178	12
0.000000	0.000000	-0.000176	7
0.000000	0.000000	-0.000174	7
0.000000	0.000000	-0.000172	11
0.000000	0.000000	-0.000170	19
0.000000	0.000000	-0.000168	14
0.000000	0.000000	-0.000166	10
0.000000	0.000000	-0.000164	9
0.000000	0.000000	-0.000162	22
0.000000	0.000000	-0.000160	8
0.000000	0.000000	-0.000158	14
0.000000	0.000000	-0.000156	7
0.000000	0.000000	-0.000154	4
0.000000	0.000000	-0.000152	12
0.000000	0.000000	-0.000150	6
0.000000	0.000000	-0.000148	9
0.000000	0.000000	-0.000146	10
0.000000	0.000000	-0.000144	11
0.000000	0.000000	-0.000142	13
0.000000	0.000000	-0.000140	14
0.000000	0.000000	-0.000138	12
0.000000	0.000000	-0.000136	12
0.000000	0.000000	-0.000134	13
0.000000	0.000000	-0.000132	15
0.000000	0.000000	-0.000130	24
0.000000	0.000000	-0.000128	15
0.000000	0.000000	-0.000126	9
0.000000	0.000000	-0.000124	13
0.000000	0.000000	-0.000122	9
0.000000	0.000000	-0.000120	20
0.000000	0.000000	-0.000118	18
0.000000	0.000000	-0.000116	12
0.000000	0.000000	-0.000114	6
0.000000	0.000000	-0.000112	12
0.000000	0.000000	-0.000110	8
0.000000	0.000000	-0.000108	11
0.000000	0.000000	-0.000106	12
0.000000	0.000000	-0.000104	14
0.000000	0.000000	-0.000102	17
0.000000	0.000000	-0.000100	20
0.000000	0.000000	-0.000098	12
0.000000	0.000000	-0.000096	7
0.000000	0.000000	-0.000094	9
0.000000	0.000000	-0.000092	10
0.000000	0.000000	-0.000090	10
0.000000	0.000000	-0.000088	4
0.000000	0.000000	-0.000086	10
0.000000	0.000000	-0.000084	17
0.000000	0.000000	-0.000082	4
0.000000	0.000000	-0.000080	10
0.000000	0.000000	-0.000078	8
0.000000	0.000000	-0.000076	13
0.000000	0.000000	-0.000074	16
0.000000	0.000000	-0.000072	11
0.000000	0.000000	-0.000070	11
0.000000	0.000000	-0.000068	15
0.000000	0.000000	-0.000066	12
0.000000	0.000000	-0.000064	15
0.000000	0.000000	-0.000062	24
0.000000	0.000000	-0.000060	14
0.000000	0.000000	-0.000058	15
0.000000	0.000000	-0.000056	20
0.000000	0.000000	-0.000054	14
0.000000	0.000000	-0.000052	16
0.000000	0.000000	-0.000050	18
0.000000	0.000000	-0.000048	14
0.000000	0.000000	-0.000046	25
0.000000	0.000000	-0.000044	28
0.000000	0.000000	-0.000042	12
0.000000	0.000000	-0.000040	25
0.000000	0.000000	-0.000038	25
0.000000	0.000000	-0.000036	26
0.000000	0.000000	-0.000034	34
0.000000	0.000000	-0.000032	20
0.000000	0.000000	-0.000030	28
0.000000	0.000000	-0.000028	30
0.000000	0.000000	-0.000026	46
0.000000	0.000000	-0.000024	32
0.000000	0.000000	-0.000022	31
0.000000	0.000000	-0.000020	37
0.000000	0.000000	-0.000018	45
0.000000	0.000000	-0.000016	51
0.000000	0.000000	-0.000014	60
0.000000	0.000000	-0.000012	71
0.000000	0.000000	-0.000010	70
0.000000	0.000000	-0.000008	67
0.000000	0.000000	-0.000006	84
0.000000	0.000000	-0.000004	117
0.000000	0.000000	-0.000002	129
