# Description:
# 

# Properties:
# Laser 1 scanned in dimension 1. started @ 741.346333 THz
# Laser 2 fix @ 361.645873 THz
# Laser 3 fix @ 383.206211 THz


# laser 1 frequency [THz]	laser 2 frequency [THz]	laser 3 frequency [THz]	countrate
-0.000200	0.000000	0.000000	33
-0.000195	0.000000	0.000000	0
-0.000190	0.000000	0.000000	3
-0.000185	0.000000	0.000000	2
-0.000180	0.000000	0.000000	1
-0.000175	0.000000	0.000000	2
-0.000170	0.000000	0.000000	1
-0.000165	0.000000	0.000000	0
-0.000160	0.000000	0.000000	2
-0.000155	0.000000	0.000000	6
-0.000150	0.000000	0.000000	1
-0.000145	0.000000	0.000000	1
-0.000140	0.000000	0.000000	5
-0.000135	0.000000	0.000000	5
-0.000130	0.000000	0.000000	10
-0.000125	0.000000	0.000000	9
-0.000120	0.000000	0.000000	3
-0.000115	0.000000	0.000000	5
-0.000110	0.000000	0.000000	11
-0.000105	0.000000	0.000000	9
-0.000100	0.000000	0.000000	5
-0.000095	0.000000	0.000000	11
-0.000090	0.000000	0.000000	12
-0.000085	0.000000	0.000000	15
-0.000080	0.000000	0.000000	29
-0.000075	0.000000	0.000000	23
-0.000070	0.000000	0.000000	57
-0.000065	0.000000	0.000000	98
-0.000060	0.000000	0.000000	94
-0.000055	0.000000	0.000000	176
-0.000050	0.000000	0.000000	224
-0.000045	0.000000	0.000000	366
-0.000040	0.000000	0.000000	306
-0.000035	0.000000	0.000000	623
-0.000030	0.000000	0.000000	652
-0.000025	0.000000	0.000000	1158
-0.000020	0.000000	0.000000	1490
-0.000015	0.000000	0.000000	1497
-0.000010	0.000000	0.000000	1777
-0.000005	0.000000	0.000000	1633
0.000000	0.000000	0.000000	1759
0.000005	0.000000	0.000000	1496
0.000010	0.000000	0.000000	1574
0.000015	0.000000	0.000000	939
0.000020	0.000000	0.000000	835
0.000025	0.000000	0.000000	579
0.000030	0.000000	0.000000	327
0.000035	0.000000	0.000000	152
0.000040	0.000000	0.000000	81
0.000045	0.000000	0.000000	96
0.000050	0.000000	0.000000	93
0.000055	0.000000	0.000000	46
0.000060	0.000000	0.000000	41
0.000065	0.000000	0.000000	25
0.000070	0.000000	0.000000	26
0.000075	0.000000	0.000000	16
0.000080	0.000000	0.000000	12
0.000085	0.000000	0.000000	16
0.000090	0.000000	0.000000	13
0.000095	0.000000	0.000000	7
0.000100	0.000000	0.000000	3
0.000105	0.000000	0.000000	9
0.000110	0.000000	0.000000	8
0.000115	0.000000	0.000000	3
0.000120	0.000000	0.000000	5
0.000125	0.000000	0.000000	2
0.000130	0.000000	0.000000	4
0.000135	0.000000	0.000000	6
0.000140	0.000000	0.000000	1
0.000145	0.000000	0.000000	6
0.000150	0.000000	0.000000	3
0.000155	0.000000	0.000000	6
0.000160	0.000000	0.000000	0
0.000165	0.000000	0.000000	3
0.000170	0.000000	0.000000	4
0.000175	0.000000	0.000000	2
0.000180	0.000000	0.000000	4
0.000185	0.000000	0.000000	0
0.000190	0.000000	0.000000	0
0.000195	0.000000	0.000000	3
0.000200	0.000000	0.000000	2
